name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,0,0,100,0.241452,0.000703984,25891.7,833.817,384.339,1.88634,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,1,0,0,0,100,0.48994,0.000521842,25985.9,410.921,189.41,3.82766,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,0,0,100,0.898724,0.00224249,25891.7,896.055,413.028,1.75532,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,1,0,0,0,100,1.87187,0.0119229,25985.9,430.214,198.303,3.65601,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,0,0,100,0.523448,0.000194788,54102.2,801.283,281.452,4.08944,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,1,0,0,0,100,1.09467,0.00257806,54791.6,383.156,134.584,8.55214,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,0,0,100,2.06019,0.00151688,54102.2,814.352,286.042,4.02381,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,1,0,0,0,93,4.30639,0.00386625,54791.6,389.589,136.843,8.41092,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,0,0,100,0.962527,0.000486969,107842,871.519,262.001,7.51974,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,1,0,0,0,100,2.06923,0.00418988,109238,405.398,121.873,16.1659,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,0,0,100,3.81261,0.0130807,107842,880.09,264.578,7.44651,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,1,0,0,0,49,8.21326,0.00502028,109238,408.54,122.818,16.0415,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,0,0,100,0.464569,0.000621285,52093.2,866.724,399.507,3.62945,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,1,0,0,0,100,0.97073,0.000831423,52154.3,414.794,191.195,7.58383,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,0,0,100,1.78585,0.0037273,52093.2,901.877,415.71,3.48798,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,0,0,100,3.71114,0.0204063,52154.3,433.994,200.045,7.24832,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,0,0,100,1.04074,0.000693085,108217,806.02,283.115,8.13081,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,1,0,0,0,100,2.18916,0.00352334,108964,383.188,134.595,17.1028,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,0,0,98,4.11137,0.0220495,108217,816.138,286.669,8.03002,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,0,0,47,8.66598,0.00500541,108964,387.197,136.003,16.9257,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,0,0,100,1.91949,0.00133636,216964,874.047,262.761,14.996,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,128,1,0,0,0,97,4.13232,0.00415236,218798,406,122.054,32.2837,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,0,0,53,7.6145,0.0012812,216964,881.33,264.95,14.8721,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,0,0,25,16.4819,0.00608512,218798,407.167,122.405,32.1913,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,0,0,100,0.898529,0.000451419,103998,896.249,413.116,7.01976,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,128,1,0,0,0,100,1.894,0.0104773,104581,425.188,195.986,14.7969,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,0,0,100,3.52756,0.00627147,103998,913.16,420.91,6.88976,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,512,1,0,0,0,55,7.30746,0.0326501,104581,440.813,203.188,14.2724,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,0,0,100,2.06032,0.00297978,216727,814.3,286.023,16.0963,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,128,1,0,0,0,92,4.34801,0.00359142,218114,385.86,135.533,33.9688,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,512,0,0,0,0,49,8.18304,0.0117971,216727,820.097,288.059,15.9825,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,512,1,0,0,0,24,17.3269,0.0431883,218114,387.311,136.043,33.8416,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,50,128,0,0,0,0,100,3.81112,0.00296689,434145,880.436,264.681,29.7743,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,50,128,1,0,0,0,49,8.27711,0.012915,436769,405.388,121.87,64.6649,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,50,512,0,0,0,0,27,15.1807,0.00186354,434145,884.134,265.793,29.6498,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,50,512,1,0,0,0,20,33.0497,0.008555,436769,406.109,122.086,64.5502,65536,16
