name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,0,0,100,0.804104,0.00444022,25891.7,250.374,115.407,6.28206,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,1,0,0,0,100,0.801704,0.000176724,25985.9,251.123,115.753,6.26332,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,0,0,100,3.22829,0.000705401,25891.7,249.453,114.983,6.30525,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,1,0,0,0,100,3.22681,0.0199747,25985.9,249.567,115.036,6.30236,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,0,0,100,1.6239,0.00860607,54102.2,258.285,90.723,12.6867,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,1,0,0,0,100,1.62844,0.0066107,54791.6,257.566,90.4704,12.7222,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,0,0,61,6.60057,0.0133553,54102.2,254.178,89.2805,12.8917,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,1,0,0,0,61,6.56234,0.0280872,54791.6,255.659,89.8006,12.8171,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,0,0,100,3.23325,0.0171838,107842,259.448,77.9969,25.2597,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,1,0,0,0,100,3.23146,0.000894292,109238,259.592,78.0399,25.2458,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,0,0,32,12.8949,0.0343892,107842,260.215,78.2273,25.1853,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,1,0,0,0,32,12.8983,0.0402238,109238,260.146,78.2065,25.192,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,0,0,100,1.60271,0.000543658,52093.2,251.233,115.803,12.5211,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,1,0,0,0,100,1.60017,0.000459774,52154.3,251.631,115.986,12.5014,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,0,0,62,6.4605,0.0141973,52093.2,249.301,114.913,12.6182,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,0,0,63,6.44885,0.000813659,52154.3,249.752,115.12,12.5954,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,0,0,100,3.27533,0.000965167,108217,256.115,89.9605,25.5885,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,1,0,0,0,100,3.27193,0.00078749,108964,256.381,90.0541,25.5619,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,0,0,31,13.0914,0.00324217,108217,256.309,90.0287,25.5691,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,0,0,31,13.0892,0.0363497,108964,256.352,90.0438,25.5648,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,0,0,63,6.432,0.000543605,216964,260.84,78.4151,50.25,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,128,1,0,0,0,63,6.42883,0.000587577,218798,260.969,78.4537,50.2252,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,0,0,20,25.7194,0.00146116,216964,260.927,78.4411,50.2333,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,0,0,20,25.6581,0.00613752,218798,261.55,78.6286,50.1135,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,0,0,100,3.23289,0.0177727,103998,249.098,114.819,25.257,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,128,1,0,0,0,100,3.27506,0.00145388,104581,245.891,113.34,25.5864,65536,16
