2760 MHz, 67
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       0       0       100         0.13494     0.0017666   25892.      1492.0      376.89      1.0542      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      128     1       0       0       0       100         0.14611     0.00035319  25986.      1377.9      348.07      1.1415      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       0       0       100         0.46053     0.00077331  25892.      1748.6      441.72      0.89948     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     1       0       0       0       100         0.49768     0.00029780  25986.      1618.1      408.75      0.97203     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      128     0       0       0       0       100         0.19724     0.00022588  54102.      2126.5      396.06      1.5410      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      128     1       0       0       0       100         0.21763     0.0062258   54792.      1927.3      358.96      1.7002      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       0       0       100         0.85718     0.0051602   54102.      1957.3      364.54      1.6742      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      512     1       0       0       0       100         0.90842     0.022293    54792.      1846.8      343.98      1.7743      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      128     0       0       0       0       100         0.37755     0.0027397   1.0784e+05  2221.8      345.78      2.9496      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      128     1       0       0       0       100         0.39684     0.0013643   1.0924e+05  2113.9      328.97      3.1003      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      512     0       0       0       0       100         1.5782      0.0028799   1.0784e+05  2126.1      330.87      3.0825      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      512     1       0       0       0       100         1.6660      0.0031397   1.0924e+05  2014.1      313.45      3.2538      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      128     0       0       0       0       100         0.22612     0.00016393  52093.      1780.7      449.82      1.7665      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      128     1       0       0       0       100         0.24681     0.00014776  52154.      1631.4      412.10      1.9282      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     0       0       0       0       100         0.97864     0.00031454  52093.      1645.8      415.73      1.9114      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     1       0       0       0       100         1.0465      0.0014343   52154.      1539.0      388.77      2.0440      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      128     0       0       0       0       100         0.40611     0.00043521  1.0822e+05  2065.6      384.72      3.1727      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      128     1       0       0       0       100         0.41963     0.00085544  1.0896e+05  1999.1      372.33      3.2783      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     0       0       0       0       100         1.8369      0.0020898   1.0822e+05  1826.7      340.22      3.5877      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     1       0       0       0       100         1.7626      0.0065814   1.0896e+05  1903.6      354.56      3.4427      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      128     0       0       0       0       100         0.79874     0.0046808   2.1696e+05  2100.4      326.88      6.2402      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      128     1       0       0       0       100         0.84507     0.0071220   2.1880e+05  1985.3      308.97      6.6021      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      512     0       0       0       0       100         3.1423      0.0043868   2.1696e+05  2135.7      332.37      6.1372      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      512     1       0       0       0       100         3.3248      0.0038003   2.1880e+05  2018.4      314.12      6.4937      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      12      128     0       0       0       0       100         0.46482     0.00019078  1.0400e+05  1732.5      437.64      3.6314      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      12      128     1       0       0       0       100         0.49988     0.00020539  1.0458e+05  1611.0      406.95      3.9053      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      12      512     0       0       0       0       100         1.9498      0.0014110   1.0400e+05  1652.1      417.33      3.8081      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      12      512     1       0       0       0       100         2.0796      0.0012772   1.0458e+05  1548.9      391.27      4.0618      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      25      128     0       0       0       0       100         0.86343     0.0067132   2.1673e+05  1943.1      361.90      6.7455      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      25      128     1       0       0       0       100         0.89473     0.0089660   2.1811e+05  1875.1      349.24      6.9901      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      25      512     0       0       0       0       100         3.3966      0.0025104   2.1673e+05  1975.8      367.99      6.6340      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      25      512     1       0       0       0       100         3.5070      0.0096830   2.1811e+05  1913.6      356.40      6.8497      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      128     0       0       0       0       100         1.5872      0.0028575   4.3414e+05  2114.0      328.99      12.400      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      128     1       0       0       0       100         1.6727      0.0029309   4.3677e+05  2006.0      312.19      13.068      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      512     0       0       0       0       64          6.3109      0.032547    4.3414e+05  2126.8      330.98      12.326      65536       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m4096    16      50      512     1       0       0       0       61          6.6487      0.046776    4.3677e+05  2018.7      314.16      12.986      65536       16          
2700 MHz, 73
