name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,0,0,100,0.0901763,6.26472e-05,11906,558.147,563.967,0.704502,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,128,1,0,0,0,100,0.122733,0.00113638,11707.4,410.089,414.365,0.958855,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,0,0,100,0.354567,0.0027004,11906,567.81,573.73,0.692514,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,512,1,0,0,0,100,0.448697,0.00132807,11707.4,448.692,453.37,0.876361,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,0,0,100,0.164809,0.00121281,24700.6,636.239,474.001,1.28757,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,128,1,0,0,0,100,0.376359,0.00171112,24615.3,278.611,207.567,2.9403,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,0,0,100,0.632755,0.00441091,24700.6,662.864,493.837,1.23585,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,512,1,0,0,0,100,1.45289,0.00530708,24615.3,288.688,215.074,2.83767,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,0,0,100,0.306971,0.00129418,49069.6,683.175,425.278,2.39821,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,128,1,0,0,0,100,0.696749,0.00162741,49483,300.991,187.368,5.44335,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,0,0,100,1.16613,0.00518908,49069.6,719.352,447.798,2.27761,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,512,1,0,0,0,100,2.67229,0.00859672,49483,313.91,195.41,5.21932,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,0,0,100,0.197151,0.000836261,23614.7,510.589,515.911,1.54024,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,128,1,0,0,0,100,0.250146,0.00217595,23546.4,402.419,406.613,1.95426,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,0,0,100,0.657342,0.00554809,23614.7,612.548,618.931,1.28387,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,0,0,100,0.880561,0.00178704,23546.4,457.269,462.034,1.71985,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,0,0,100,0.329329,0.000701069,49004.8,636.796,474.414,2.57288,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,128,1,0,0,0,100,0.751661,0.00170071,48901.2,279.002,207.857,5.87235,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,0,0,100,1.26492,0.00561957,49004.8,663.173,494.065,2.47055,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,0,0,100,2.91125,0.00510768,48901.2,288.145,214.669,5.68603,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,0,0,100,0.599692,0.00422239,98010.9,699.41,435.384,4.68509,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,50,128,1,0,0,0,100,1.37534,0.00807186,98451.4,304.964,189.841,10.7449,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,0,0,100,2.33262,0.016847,98010.9,719.243,447.73,4.5559,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,0,0,75,5.34734,0.00825585,98451.4,313.749,195.309,10.444,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,0,0,100,0.343992,0.00192363,47049.3,585.266,591.364,2.68744,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,12,128,1,0,0,0,100,0.457209,0.00126168,47284.7,440.338,444.926,3.57195,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,0,0,100,1.26681,0.00658936,47049.3,635.695,642.318,2.47424,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,12,512,1,0,0,0,100,1.73911,0.0121158,47284.7,463.057,467.882,3.3967,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,0,0,100,0.640614,0.00408888,97978.4,654.732,487.776,5.00479,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,25,128,1,0,0,0,100,1.47943,0.00471477,98379,283.509,211.214,11.558,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,25,512,0,0,0,0,100,2.49601,0.0114445,97978.4,672.16,500.76,4.87503,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,25,512,1,0,0,0,69,5.81736,0.00779017,98379,288.399,214.858,11.362,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,50,128,0,0,0,0,100,1.18032,0.00565211,196260,710.705,442.414,9.22127,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,50,128,1,0,0,0,100,2.71995,0.00914395,196545,308.411,191.986,21.2496,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,50,512,0,0,0,0,87,4.632,0.0189426,196260,724.405,450.943,9.04687,65536,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",4096,16,50,512,1,0,0,0,38,10.71,0.0100523,196545,313.299,195.029,20.918,65536,16
