2760 MHz, 68
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       0       0       100         0.020681    2.9517e-05  11906.      2433.7      1445.0      0.16157     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     1       0       0       0       100         0.023405    1.9992e-05  11707.      2150.5      1276.9      0.18285     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       0       0       100         0.13972     0.00025121  11906.      1440.9      855.56      0.27289     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     1       0       0       0       100         0.14302     0.00023201  11707.      1407.7      835.84      0.27933     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     0       0       0       0       100         0.040655    5.3468e-05  24701.      2579.2      1070.4      0.31762     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     1       0       0       0       100         0.056264    7.3513e-05  24615.      1863.7      773.43      0.43956     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       0       0       100         0.20829     0.00020455  24701.      2013.6      835.67      0.40682     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     1       0       0       0       100         0.23860     0.00035161  24615.      1757.9      729.52      0.46602     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     0       0       0       0       100         0.075778    0.00025039  49070.      2767.5      920.20      0.59202     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     1       0       0       0       100         0.15527     0.0014385   49483.      1350.6      449.09      1.2131      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     0       0       0       0       100         0.36296     0.0025062   49070.      2311.2      768.46      0.70891     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     1       0       0       0       100         0.60376     0.0071818   49483.      1389.4      461.98      1.1792      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     0       0       0       0       100         0.046200    8.2849e-05  23615.      2178.9      1293.7      0.36094     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     1       0       0       0       100         0.044555    7.3159e-05  23546.      2259.3      1341.5      0.34809     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     0       0       0       0       100         0.26840     0.0015936   23615.      1500.2      890.75      0.52422     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     1       0       0       0       100         0.27089     0.00053037  23546.      1486.4      882.55      0.52909     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     0       0       0       0       100         0.11367     0.0010606   49005.      1844.9      765.64      0.88807     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     1       0       0       0       100         0.12153     0.00032883  48901.      1725.7      716.16      0.94943     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     0       0       0       0       100         0.39759     0.00063739  49005.      2109.8      875.59      0.77655     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     1       0       0       0       100         0.44732     0.0024861   48901.      1875.3      778.26      0.87366     32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     0       0       0       0       100         0.19711     0.00092518  98011.      2127.9      707.52      1.5399      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     1       0       0       0       100         0.33012     0.0018555   98451.      1270.5      422.45      2.5791      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      512     0       0       0       0       100         0.70537     0.0067177   98011.      2378.5      790.85      1.3777      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      512     1       0       0       0       100         1.1908      0.018291    98451.      1408.9      468.46      2.3258      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      128     0       0       0       0       100         0.14090     0.0011049   47049.      1428.9      848.42      1.1007      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      128     1       0       0       0       100         0.14184     0.00023476  47285.      1419.4      842.77      1.1081      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      512     0       0       0       0       100         0.52468     0.00042487  47049.      1534.8      911.32      1.0248      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      512     1       0       0       0       100         0.52551     0.00073627  47285.      1532.4      909.89      1.0264      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      25      128     0       0       0       0       100         0.21012     0.00031916  97978.      1996.2      828.42      1.6415      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      25      128     1       0       0       0       100         0.23227     0.00068592  98379.      1805.8      749.41      1.8146      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      25      512     0       0       0       0       100         0.77613     0.0034438   97978.      2161.7      897.09      1.5159      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      25      512     1       0       0       0       100         0.86633     0.0091755   98379.      1936.6      803.68      1.6921      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      50      128     0       0       0       0       100         0.36675     0.0018225   1.9626e+05  2287.3      760.52      2.8652      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      50      128     1       0       0       0       100         0.62324     0.0080930   1.9655e+05  1346.0      447.54      4.8690      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      50      512     0       0       0       0       100         1.3699      0.010027    1.9626e+05  2449.5      814.45      2.6755      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      50      512     1       0       0       0       100         2.4118      0.0031025   1.9655e+05  1391.3      462.60      4.7105      65536       16          
2685 MHz, 72
