2775 MHz, 58
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       0       100         0.075597    5.2433e-05  2501.8      166.45      665.82      0.14765     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.080749    4.8778e-05  4985.5      311.66      831.11      0.15771     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       0       100         0.15147     0.00031328  9973.2      332.29      664.59      0.29584     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       0       100         0.26657     0.0012816   19873.      377.63      629.39      0.52064     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       0       100         0.38686     0.00034627  29814.      390.31      607.15      0.75558     3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       0       100         0.85535     0.00041496  61852.      367.77      529.59      1.6706      3072        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       0       100         0.12112     0.00021439  4887.6      207.78      675.31      0.23655     6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       0       100         0.14895     0.00026995  9761.0      337.90      661.74      0.29093     6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       0       100         0.25390     0.00063927  19641.      396.47      520.37      0.49590     6144        6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       0       100         0.41808     0.00049769  38905.      481.55      476.54      0.81656     6144        6           
