name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.171351,0.000122147,2501.82,73.4335,293.746,0.33467,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.184058,0.000181,4985.47,136.728,364.619,0.359488,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.300501,0.000160052,9973.15,167.493,334.992,0.586916,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.536137,0.00111851,19873.2,187.757,312.931,1.04714,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.764769,0.000266452,29813.5,197.439,307.13,1.49369,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,1.52763,0.00135708,61851.9,205.922,296.529,2.98365,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.244888,0.000229171,4887.63,102.765,333.993,0.478297,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.317098,0.000190711,9760.98,158.726,310.845,0.619332,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.545139,0.000167613,19640.9,184.656,242.365,1.06473,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.973605,0.0151852,38904.7,206.785,204.633,1.90157,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,1.43441,0.00125745,58388.2,210.532,185.679,2.80159,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,2.82269,0.0312667,121146,222.888,171.625,5.51307,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.305353,0.000230192,6451.22,109.887,336.536,0.596393,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.401698,0.000198161,12867.6,167.063,297.586,0.784566,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.70636,0.000130994,26000.9,190.013,216.737,1.37961,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,1.26363,0.00075921,51481.6,212.433,174.263,2.46802,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,1.81397,0.000523413,77229.6,221.973,158.388,3.54292,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,3.64993,0.00106748,160345,229.829,138.473,7.12877,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.420686,0.000194937,9653.95,119.642,343.975,0.821653,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.564868,0.00023241,19228.3,178.207,285.877,1.10326,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,1.02543,0.00062924,38811.5,196.334,190.2,2.00279,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,1.84282,0.000726158,76689.6,218.498,142.252,3.59926,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,2.64606,0.00072274,115214,228.256,124.432,5.16808,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,75,5.34495,0.00107895,239515,235.417,102.407,10.4394,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.525859,0.000263567,12664.7,127.618,354.94,1.02707,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.716505,0.000214841,25335.3,187.323,283.914,1.39942,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,1.3177,0.000660635,51255.3,203.715,179.844,2.57363,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,2.38093,0.000875629,101423,225.488,127.719,4.65025,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,3.43104,0.000912227,152420,234.712,108.188,6.70125,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,58,6.9549,0.000857113,316818,241.229,84.7319,13.5838,16384,16
