2775 MHz, 56
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       0       100         0.013148    2.4177e-05  2501.8      956.99      2233.1      0.025680    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.019525    2.3970e-05  4985.5      1288.9      1933.5      0.038134    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       0       100         0.033730    3.4493e-05  9973.2      1492.2      1616.6      0.065879    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       0       100         0.11150     0.00032349  19873.      902.81      789.98      0.21777     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       0       100         0.13826     0.00015145  29814.      1092.1      879.75      0.27004     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       0       100         0.26016     0.00035385  61852.      1209.2      886.72      0.50812     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       0       100         0.021732    4.3878e-05  4887.6      1158.0      2219.6      0.042445    6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       0       100         0.032006    3.8365e-05  9761.0      1572.6      1769.2      0.062511    6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       0       100         0.060406    0.00038361  19641.      1666.4      1215.2      0.11798     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       0       100         0.18150     0.00056888  38905.      1109.3      589.30      0.35449     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       12      512     0       0       1       0       100         0.21279     0.00056657  58388.      1419.2      660.33      0.41561     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       25      512     0       0       1       0       100         0.42043     0.0011841   1.2115e+05  1496.4      593.59      0.82115     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       1       512     0       0       1       0       100         0.035848    5.1026e-05  6451.2      936.01      1696.6      0.070017    8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       2       512     0       0       1       0       100         0.046867    4.9429e-05  12868.      1431.9      1476.7      0.091537    8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       4       512     0       0       1       0       100         0.12589     0.00034077  26001.      1066.2      683.02      0.24588     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       8       512     0       0       1       0       100         0.22634     0.00068512  51482.      1186.0      528.14      0.44207     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       12      512     0       0       1       0       100         0.26911     0.00074828  77230.      1496.2      568.88      0.52561     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       25      512     0       0       1       0       100         0.55265     0.0040990   1.6035e+05  1517.9      474.34      1.0794      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      1       512     0       0       1       0       100         0.090528    0.00028567  9653.9      555.98      949.82      0.17681     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      2       512     0       0       1       0       100         0.11938     0.00068940  19228.      843.19      790.51      0.23317     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      4       512     0       0       1       0       100         0.19776     0.00043678  38811.      1018.0      562.05      0.38625     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      8       512     0       0       1       0       100         0.31718     0.00079144  76690.      1269.5      456.22      0.61950     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      12      512     0       0       1       0       100         0.41787     0.00063959  1.1521e+05  1445.4      426.59      0.81616     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      25      512     0       0       1       0       100         0.86228     0.0027948   2.3951e+05  1459.3      333.20      1.6841      12288       12          
