name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.163486,0.000256431,2501.82,76.9665,179.601,0.319308,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.163834,0.000135206,4985.47,153.606,230.421,0.319988,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.168232,0.000143787,9973.15,299.179,324.123,0.328579,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.185385,0.000144051,19873.2,542.996,475.133,0.36208,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.27385,0.000233096,29813.5,551.379,444.174,0.534863,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,0.61341,0.00043736,61851.9,512.826,376.076,1.19807,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.198726,0.000140366,4887.63,126.636,242.729,0.388137,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.199364,0.000150601,9760.98,252.461,284.029,0.389383,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.205291,0.000170317,19640.9,490.345,357.553,0.400959,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.314881,0.00138903,38904.7,639.374,339.674,0.615002,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,0.438793,0.000288309,58388.2,688.229,320.222,0.857017,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,0.923143,0.00253254,121146,681.526,270.341,1.80301,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.219887,0.000277396,6451.22,152.599,276.595,0.429466,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.220329,0.000194712,12867.6,304.585,314.113,0.430329,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.251513,0.00102415,26000.9,533.642,341.872,0.491236,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,0.403825,0.00123535,51481.6,664.732,296.018,0.788721,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,0.567545,0.000234618,77229.6,709.464,269.748,1.10849,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,1.1905,0.00136172,160345,704.63,220.199,2.32519,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.254982,0.00115587,9653.95,197.393,337.221,0.498011,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.254594,0.000183023,19228.3,395.388,370.684,0.497253,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,0.334297,0.000251356,38811.5,602.239,332.492,0.652923,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,0.566805,0.000262802,76689.6,710.39,255.3,1.10704,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,0.801934,0.000285737,115214,753.154,222.287,1.56628,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,100,1.66045,0.0011257,239515,757.799,173.032,3.24308,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.278365,0.000168062,12664.7,241.082,399.3,0.543681,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.287399,0.000265707,25335.3,467.008,415.937,0.561326,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,0.400315,0.000203678,51255.3,670.561,340.524,0.781865,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,0.710752,0.000260616,101423,755.356,239.002,1.38819,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,1.02276,0.000827479,152420,787.386,198.899,1.99758,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,2.09728,0.00292855,316818,799.949,148.992,4.09626,16384,16
