name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.00839807,3.14007e-05,1134.05,374.578,2247.71,0.0164025,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.0109222,1.34922e-05,2210.61,576.026,2112.28,0.0213324,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.0320287,0.000162827,4394.88,392.864,982.224,0.062556,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.0394978,2.77292e-05,8677.19,637.145,1221.25,0.0771441,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.050187,4.45117e-05,13023.9,752.161,1295.43,0.0980216,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,0.161634,0.000177418,26970.4,486.552,739.572,0.315691,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.0129568,1.68867e-05,1921.47,485.574,2428.03,0.0253062,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.015654,1.80418e-05,3775.29,803.813,2277.6,0.0305743,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.0450871,1.78252e-05,7616.19,558.16,976.826,0.0880608,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.0538634,0.000259514,15100.2,934.431,1129.14,0.105202,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,0.079624,7.05153e-05,22678,948.175,974.539,0.155516,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,0.207311,0.000336621,46974.3,758.696,637.315,0.404905,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.0181571,3.37827e-05,2451.3,462.003,2194.63,0.035463,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.0226834,3.96185e-05,4830.64,739.624,1941.6,0.0443036,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.0559466,0.000148119,9744.12,599.758,937.159,0.109271,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,0.067531,0.000209892,19326.3,993.749,1024.83,0.131896,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,0.136202,0.000152167,28998.5,739.075,631.308,0.266019,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,0.24641,0.000319485,60059.3,851.081,570.233,0.48127,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.0389263,0.000119757,3521.24,323.249,1454.67,0.076028,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.0445884,4.03887e-05,6912.31,564.403,1364.02,0.0870867,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,0.0775932,0.000146115,13925.8,648.661,891.935,0.151549,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,0.156467,0.000175787,27601.3,643.35,549.542,0.3056,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,0.202,0.000281354,41478.4,747.499,508.725,0.394532,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,100,0.333,0.00242506,85843.9,944.664,472.338,0.65039,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.0607233,0.000130381,4553.06,276.29,1208.8,0.1186,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.0702466,0.000102518,8975.8,477.667,1104.63,0.1372,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,0.145371,0.00130556,18038.6,461.638,591.488,0.283928,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,0.199759,0.0001738,35800.6,671.9,514.433,0.390153,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,0.247568,0.000294699,53883,813.216,482.855,0.483532,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,0.40661,0.000404857,111275,1031.53,428.09,0.79416,16384,16
