name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.170809,0.000350249,2521.86,73.6665,294.678,0.333612,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.177511,0.000295305,4971.24,141.77,378.065,0.346702,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.292732,0.0130933,9997.29,171.938,343.882,0.571742,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.650237,0.00478773,19845.7,154.81,258.02,1.26999,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,1.03787,0.0149836,29807,145.486,226.314,2.02708,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,1,100,2.00071,0.0175413,61992.1,157.231,226.413,3.90763,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,1,100,0.233814,0.000421949,4875.64,107.632,349.811,0.456669,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,1,100,0.312589,0.00100565,9659.83,161.015,315.328,0.610526,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,1,100,0.51472,0.00101658,19555.1,195.569,256.688,1.00531,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,1,100,1.03068,0.0015756,38831.6,195.333,193.301,2.01305,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,1,100,1.56252,0.00169779,58402.6,193.271,170.456,3.05179,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,1,100,3.1749,0.00484744,121445,198.163,152.586,6.20097,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,1,100,0.295864,0.000354484,6455.89,113.412,347.33,0.57786,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,1,100,0.403845,0.000283204,12840.9,166.175,296.004,0.78876,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,1,100,0.668462,0.00113088,25899.9,200.786,229.025,1.30559,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,1,100,1.29789,0.0015664,51462.5,206.824,169.662,2.53495,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,1,100,1.94895,0.0256237,77374.9,206.6,147.418,3.80655,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,1,100,3.93203,0.00211125,160756,213.34,128.538,7.67975,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,1,100,0.407873,0.00126213,9662,123.4,354.781,0.796627,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,1,100,0.584513,0.00156656,19171.8,172.217,276.269,1.14163,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,1,100,1.01539,0.0254821,38680,198.275,192.081,1.98319,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,1,100,1.86971,0.00479529,76859.7,215.356,140.207,3.65177,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,1,100,2.74374,0.00201898,115577,220.13,120.002,5.35888,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,1,72,5.57009,0.00245107,240077,225.901,98.2674,10.8791,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.516303,0.000426466,12781.5,129.98,361.51,1.0084,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,1,100,0.747863,0.000568816,25399.7,179.468,272.009,1.46067,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,1,100,1.25688,0.00468424,51228.8,213.574,188.547,2.45484,16384,16
