2700 MHz, 73
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       1       100         0.056686    4.4205e-05  2521.9      221.98      517.98      0.11071     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       1       100         0.10549     0.00018440  4971.2      238.57      357.88      0.20603     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       1       100         0.20498     0.00032556  9997.3      245.55      266.02      0.40035     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       1       100         0.42404     0.00049200  19846.      237.39      207.72      0.82820     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       1       100         0.70758     0.00063372  29807.      213.40      171.91      1.3820      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       1       100         1.5630      0.0041689   61992.      201.26      147.59      3.0527      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       1       100         0.12215     0.00020361  4875.6      206.02      394.89      0.23858     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       1       100         0.22886     0.00038335  9659.8      219.92      247.42      0.44699     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       1       100         0.44303     0.00059944  19555.      227.21      165.68      0.86530     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       1       100         0.88322     0.0028258   38832.      227.95      121.10      1.7250      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       12      512     0       0       1       1       100         1.4049      0.0035356   58403.      214.95      100.02      2.7439      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       25      512     0       0       1       1       100         2.9209      0.0061928   1.2144e+05  215.40      85.442      5.7048      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       1       512     0       0       1       1       100         0.17100     0.00024233  6455.9      196.22      355.66      0.33399     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       2       512     0       0       1       1       100         0.31697     0.00051621  12841.      211.72      218.35      0.61907     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       4       512     0       0       1       1       100         0.62722     0.00091871  25900.      213.99      137.09      1.2250      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       8       512     0       0       1       1       100         1.2304      0.0045563   51462.      218.17      97.156      2.4031      8192        8           
