2760 MHz, 68
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       1       100         0.16481     0.0012229   2521.9      76.346      178.15      0.32190     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       1       100         0.16679     0.00022298  4971.2      150.89      226.34      0.32575     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       4       512     0       0       1       1       100         0.24998     0.0029752   9997.3      201.34      218.13      0.48825     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       8       512     0       0       1       1       100         0.42891     0.00071845  19846.      234.70      205.37      0.83771     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       12      512     0       0       1       1       100         0.62228     0.0012630   29807.      242.65      195.47      1.2154      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       25      512     0       0       1       1       100         1.4119      0.012911    61992.      222.80      163.39      2.7577      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       1       512     0       0       1       1       100         0.20172     0.00036575  4875.6      124.76      239.13      0.39399     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       2       512     0       0       1       1       100         0.32581     0.0046575   9659.8      154.48      173.80      0.63636     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       4       512     0       0       1       1       100         0.49333     0.019244    19555.      204.05      148.79      0.96353     6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       8       512     0       0       1       1       100         0.86967     0.0023943   38832.      231.50      122.99      1.6986      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       12      512     0       0       1       1       100         1.2705      0.0012167   58403.      237.70      110.60      2.4814      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    6       25      512     0       0       1       1       100         2.7493      0.0017050   1.2144e+05  228.84      90.774      5.3697      6144        6           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       1       512     0       0       1       1       100         0.24654     0.00016828  6455.9      136.10      246.69      0.48152     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       2       512     0       0       1       1       100         0.39502     0.0011596   12841.      169.89      175.20      0.77152     8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       4       512     0       0       1       1       100         0.63896     0.00032540  25900.      210.06      134.57      1.2480      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       8       512     0       0       1       1       100         1.1949      0.0012002   51462.      224.65      100.04      2.3338      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       12      512     0       0       1       1       100         1.7197      0.0011442   77375.      234.14      89.022      3.3589      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    8       25      512     0       0       1       1       100         3.6969      0.0017062   1.6076e+05  226.91      70.910      7.2205      8192        8           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      1       512     0       0       1       1       100         0.35718     0.0022451   9662.0      140.91      240.73      0.69762     12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      2       512     0       0       1       1       100         0.59251     0.022947    19172.      169.89      159.28      1.1572      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      4       512     0       0       1       1       100         1.0133      0.0033200   38680.      198.69      109.70      1.9790      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      8       512     0       0       1       1       100         1.8265      0.0017028   76860.      220.45      79.224      3.5675      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      12      512     0       0       1       1       100         2.6454      0.021699    1.1558e+05  228.31      67.385      5.1668      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    12      25      512     0       0       1       1       72          5.5633      0.0033536   2.4008e+05  226.18      51.644      10.866      12288       12          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      1       512     0       0       1       1       100         0.47043     0.00040680  12782.      142.65      236.28      0.91881     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      2       512     0       0       1       1       100         0.78634     0.024557    25400.      170.69      152.02      1.5358      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      4       512     0       0       1       1       100         1.3338      0.0020875   51229.      201.26      102.20      2.6050      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      8       512     0       0       1       1       100         2.4981      0.0052868   1.0191e+05  214.91      68.000      4.8791      16384       16          
