2685 MHz, 72
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       1       100         0.16518     0.00025017  1134.1      19.044      177.76      0.32262     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       1       100         0.16675     0.00015334  2210.6      37.730      226.39      0.32568     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       512     0       0       1       1       100         0.17313     0.00024999  4394.9      72.679      314.96      0.33814     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       512     0       0       1       1       100         0.24527     0.0013074   8677.2      102.61      359.13      0.47904     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      512     0       0       1       1       100         0.44633     0.010800    13024.      84.576      272.53      0.87174     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       25      512     0       0       1       1       100         1.0574      0.0018282   26970.      74.375      218.17      2.0652      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       1       512     0       0       1       1       100         0.20146     0.00019136  1921.5      31.230      239.44      0.39347     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       2       512     0       0       1       1       100         0.20330     0.00018477  3775.3      61.893      278.53      0.39707     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       4       512     0       0       1       1       100         0.29140     0.0020826   7616.2      86.362      251.90      0.56914     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       8       512     0       0       1       1       100         0.48935     0.00061979  15100.      102.85      218.57      0.95576     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       12      512     0       0       1       1       100         0.77337     0.00063061  22678.      97.622      181.69      1.5105      6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       25      512     0       0       1       1       100         1.6574      0.0021268   46974.      94.901      150.58      3.2371      6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       1       512     0       0       1       1       100         0.22212     0.00015169  2451.3      37.767      273.82      0.43382     8192        8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       2       512     0       0       1       1       100         0.25406     0.00020973  4830.6      66.038      272.41      0.49620     8192        8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       4       512     0       0       1       1       100         0.37777     0.00038079  9744.1      88.823      227.62      0.73782     8192        8           
