2730 MHz, 72
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       1       100         0.029291    2.6302e-05  1134.1      107.40      644.44      0.057209    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       1       100         0.052569    0.00025051  2210.6      119.68      438.86      0.10267     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       512     0       0       1       1       100         0.098032    5.3321e-05  4394.9      128.36      320.91      0.19147     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       512     0       0       1       1       100         0.19585     0.00026163  8677.2      128.50      246.29      0.38252     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      512     0       0       1       1       100         0.30853     0.00038025  13024.      122.35      210.72      0.60259     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       25      512     0       0       1       1       100         0.71715     0.00078113  26970.      109.66      166.69      1.4007      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       1       512     0       0       1       1       100         0.059882    0.00019767  1921.5      105.06      525.36      0.11696     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       2       512     0       0       1       1       100         0.11001     0.00025307  3775.3      114.38      324.09      0.21487     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       4       512     0       0       1       1       100         0.20879     0.00039583  7616.2      120.53      210.94      0.40779     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       8       512     0       0       1       1       100         0.42016     0.0027506   15100.      119.79      144.75      0.82063     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       12      512     0       0       1       1       100         0.66081     0.00089033  22678.      114.25      117.43      1.2906      6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       25      512     0       0       1       1       100         1.4211      0.0061561   46974.      110.68      92.975      2.7755      6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       1       512     0       0       1       1       100         0.084322    8.6867e-05  2451.3      99.483      472.57      0.16469     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       2       512     0       0       1       1       100         0.15086     0.00028893  4830.6      111.21      291.93      0.29466     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       4       512     0       0       1       1       100         0.28280     0.0015525   9744.1      118.65      185.40      0.55235     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       8       512     0       0       1       1       100         0.57363     0.0013560   19326.      116.99      120.65      1.1204      8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       12      512     0       0       1       1       100         0.91532     0.0018638   28999.      109.98      93.940      1.7877      8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       25      512     0       0       1       1       100         1.9159      0.0065716   60059.      109.46      73.338      3.7421      8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      1       512     0       0       1       1       100         0.14256     0.00040701  3521.2      88.262      397.19      0.27845     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      2       512     0       0       1       1       100         0.23855     0.00041007  6912.3      105.50      254.96      0.46591     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      4       512     0       0       1       1       100         0.43223     0.00063242  13926.      116.45      160.12      0.84420     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      8       512     0       0       1       1       100         0.89974     0.0012534   27601.      111.88      95.566      1.7573      12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      12      512     0       0       1       1       100         1.4497      0.0053241   41478.      104.16      70.886      2.8314      12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      25      512     0       0       1       1       100         2.9687      0.0088318   85844.      105.96      52.982      5.7982      12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       512     0       0       1       1       100         0.20902     0.00043652  4553.1      80.268      351.18      0.40823     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       512     0       0       1       1       100         0.32955     0.00052066  8975.8      101.82      235.47      0.64364     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       512     0       0       1       1       100         0.57695     0.0028832   18039.      116.32      149.03      1.1269      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       512     0       0       1       1       100         1.2137      0.0057000   35801.      110.59      84.672      2.3704      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       1       100         1.9340      0.0079926   53883.      104.10      61.808      3.7774      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       1       1       100         3.9992      0.013917    1.1127e+05  104.88      43.526      7.8109      16384       16          
2775 MHz, 57
