name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.162352,0.000150065,1134.05,19.3759,116.268,0.317095,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.162737,0.00028743,2210.61,38.6603,141.767,0.317845,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.166032,0.000175624,4394.88,75.7861,189.478,0.324281,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.251355,0.000286378,8677.19,100.121,191.906,0.490927,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,0.350787,0.00167843,13023.9,107.611,185.337,0.685131,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,1,100,0.654778,0.011032,26970.4,120.107,182.565,1.27886,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,1,100,0.198356,0.000340062,1921.47,31.718,158.6,0.387414,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,1,100,0.200057,0.000152561,3775.29,62.8968,178.218,0.390735,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,1,100,0.298063,0.00545248,7616.19,84.4311,147.761,0.582155,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,1,100,0.491036,0.00154739,15100.2,102.501,123.86,0.959054,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,1,100,0.69973,0.000613981,22678,107.895,110.895,1.36666,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,1,100,1.42474,0.0332965,46974.3,110.396,92.7343,2.7827,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,1,100,0.220199,0.00110985,2451.3,38.0956,180.964,0.430075,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,1,100,0.252963,0.00156383,4830.64,66.3228,174.106,0.494068,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,1,100,0.38061,0.00118812,9744.12,88.1597,137.755,0.743378,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,1,100,0.666959,0.000515945,19326.3,100.619,103.767,1.30265,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,1,100,0.981971,0.0225322,28998.5,102.511,87.5639,1.91791,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,1,100,1.93337,0.00150341,60059.3,108.471,72.6767,3.77612,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,1,100,0.266975,0.000250171,3521.24,47.1314,212.099,0.521436,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,1,100,0.368951,0.000302524,6912.31,68.2092,164.844,0.720607,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,1,100,0.562192,0.000249013,13925.8,89.5276,123.104,1.09803,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,1,100,1.02719,0.0154785,27601.3,97.999,83.7095,2.00622,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,1,100,1.45681,0.0121349,41478.4,103.648,70.5395,2.84533,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,1,100,2.96566,0.0220578,85843.9,106.072,53.0366,5.79231,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.345013,0.000271009,4553.06,48.6278,212.752,0.673853,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,1,100,0.488435,0.00174301,8975.8,68.6978,158.868,0.953975,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,1,100,0.773089,0.0240097,18038.6,86.8061,111.223,1.50994,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,1,100,1.43152,0.00552966,35800.6,93.7587,71.7854,2.79594,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,1,100,1.97274,0.0141006,53883,102.054,60.5958,3.853,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,1,100,4.03658,0.00294372,111275,103.907,43.1221,7.88394,16384,16
