210 MHz, 45
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       1       100         0.16235     0.00015006  1134.1      19.376      116.27      0.31709     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       1       100         0.16274     0.00028743  2210.6      38.660      141.77      0.31785     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       512     0       0       1       1       100         0.16603     0.00017562  4394.9      75.786      189.48      0.32428     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       512     0       0       1       1       100         0.25135     0.00028638  8677.2      100.12      191.91      0.49093     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      512     0       0       1       1       100         0.35079     0.0016784   13024.      107.61      185.34      0.68513     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       25      512     0       0       1       1       100         0.65478     0.011032    26970.      120.11      182.57      1.2789      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       1       512     0       0       1       1       100         0.19836     0.00034006  1921.5      31.718      158.60      0.38741     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       2       512     0       0       1       1       100         0.20006     0.00015256  3775.3      62.897      178.22      0.39074     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       4       512     0       0       1       1       100         0.29806     0.0054525   7616.2      84.431      147.76      0.58216     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       8       512     0       0       1       1       100         0.49104     0.0015474   15100.      102.50      123.86      0.95905     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       12      512     0       0       1       1       100         0.69973     0.00061398  22678.      107.90      110.90      1.3667      6144        6           
