name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,128,0,0,1,1,100,0.0296123,3.04209e-05,4963.07,212.461,495.76,0.231346,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,128,0,0,1,1,100,0.0535453,5.57581e-05,10110.9,234.996,352.503,0.418323,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,128,0,0,1,1,100,0.102031,0.000187164,19918,246.648,267.207,0.79712,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,128,0,0,1,1,100,0.202669,0.00037593,39482.5,248.344,217.304,1.58335,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,128,0,0,1,1,100,0.308557,0.000575737,59430.8,244.679,197.105,2.4106,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,25,128,0,0,1,1,100,0.724618,0.000861263,123398,217.061,159.179,5.66108,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,1,128,0,0,1,1,100,0.063126,5.73348e-05,9716.28,199.33,382.057,0.493172,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,2,128,0,0,1,1,100,0.115674,0.000387939,19740.8,217.559,244.758,0.9037,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,4,128,0,0,1,1,100,0.221253,0.000529544,39161.6,227.485,165.876,1.72854,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,8,128,0,0,1,1,100,0.429526,0.000655072,77964.9,234.359,124.505,3.35567,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,12,128,0,0,1,1,100,0.649184,0.000694888,117269,232.592,108.221,5.07175,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,25,128,0,0,1,1,100,1.4502,0.00468986,243828,216.917,86.044,11.3297,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,1,128,0,0,1,1,100,0.0873892,0.000258401,12935.5,191.983,347.975,0.682728,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,2,128,0,0,1,1,100,0.159057,0.000465336,26240.7,210.958,217.554,1.24263,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,4,128,0,0,1,1,100,0.306521,0.000636806,52038,218.937,140.258,2.39469,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,8,128,0,0,1,1,100,0.573732,0.00168906,103452,233.938,104.176,4.48228,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,12,128,0,0,1,1,100,0.858834,0.00199529,155503,234.418,89.1284,6.70964,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,25,128,0,0,1,1,100,1.85755,0.00799115,323527,225.797,70.5619,14.5121,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,1,128,0,0,1,1,100,0.148495,0.00166454,19303.1,169.473,289.52,1.16011,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,2,128,0,0,1,1,100,0.258408,0.00224766,38931.7,194.776,182.605,2.01881,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,4,128,0,0,1,1,100,0.476101,0.00264147,77186,211.432,116.729,3.71954,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,8,128,0,0,1,1,100,0.889634,0.00454121,153934,226.303,81.3281,6.95027,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,12,128,0,0,1,1,100,1.34621,0.00787716,231519,224.326,66.2078,10.5173,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,25,128,0,0,1,1,100,2.76084,0.0167346,481803,227.882,52.0333,21.5691,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,128,0,0,1,1,100,0.218441,0.000580525,25507,153.608,254.416,1.70657,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,128,0,0,1,1,100,0.366711,0.000903479,51459.4,183.002,162.988,2.86493,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,128,0,0,1,1,100,0.653295,0.00144563,102084,205.447,104.33,5.10387,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,8,128,0,0,1,1,100,1.25159,0.00732687,203608,214.476,67.862,9.77803,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,1,100,1.87138,0.00961022,306276,215.164,54.3515,14.6202,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,1,100,3.6787,0.00663805,637282,228.032,42.4711,28.7399,32768,16
