name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,1,128,0,0,1,1,100,0.0871351,0.000141867,4963.07,72.2034,168.481,0.680743,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,2,128,0,0,1,1,100,0.088861,7.2421e-05,10110.9,141.602,212.409,0.694226,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,4,128,0,0,1,1,100,0.11933,0.000133683,19918,210.893,228.472,0.932262,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,8,128,0,0,1,1,100,0.199912,0.000155724,39482.5,251.769,220.3,1.56181,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,12,128,0,0,1,1,100,0.283493,0.00273335,59430.8,266.312,214.531,2.21479,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,3,25,128,0,0,1,1,100,0.61601,0.000905984,123398,255.331,187.244,4.81258,6144,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,1,128,0,0,1,1,100,0.105347,0.000109409,9716.28,119.442,228.936,0.823025,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,2,128,0,0,1,1,100,0.144557,0.000135454,19740.8,174.089,195.854,1.12935,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,4,128,0,0,1,1,100,0.229721,0.000890109,39161.6,219.099,159.762,1.7947,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,8,128,0,0,1,1,100,0.409123,0.000439087,77964.9,246.046,130.713,3.19627,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,12,128,0,0,1,1,100,0.590617,0.000771978,117269,255.656,118.952,4.61419,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,6,25,128,0,0,1,1,100,1.23294,0.00117173,243828,255.14,101.206,9.63235,12288,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,1,128,0,0,1,1,100,0.123812,0.000151334,12935.5,135.506,245.609,0.967278,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,2,128,0,0,1,1,100,0.188513,0.000902319,26240.7,177.995,183.56,1.47276,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,4,128,0,0,1,1,100,0.304403,0.00231743,52038,220.461,141.234,2.37815,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,8,128,0,0,1,1,100,0.55079,0.00021418,103452,243.682,108.516,4.30304,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,12,128,0,0,1,1,100,0.796907,0.000277877,155503,252.635,96.0545,6.22584,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,8,25,128,0,0,1,1,100,1.65111,0.00121857,323527,254.03,79.3846,12.8993,16384,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,1,128,0,0,1,1,100,0.174567,0.000495648,19303.1,144.162,246.279,1.3638,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,2,128,0,0,1,1,100,0.274447,0.000270125,38931.7,183.393,171.933,2.14411,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,4,128,0,0,1,1,100,0.453191,0.00118438,77186,222.121,122.63,3.54056,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,8,128,0,0,1,1,100,0.838226,0.000387096,153934,240.182,86.3159,6.54864,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,12,128,0,0,1,1,100,1.22302,0.00461569,231519,246.922,72.8766,9.55483,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,12,25,128,0,0,1,1,100,2.50694,0.00156063,481803,250.961,57.3031,19.5855,24576,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,1,128,0,0,1,1,100,0.224694,0.000251849,25507,149.334,247.336,1.75542,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,2,128,0,0,1,1,100,0.357874,0.000205674,51459.4,187.521,167.012,2.79589,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,4,128,0,0,1,1,100,0.59448,0.000204407,102084,225.773,114.651,4.64437,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,8,128,0,0,1,1,100,1.10536,0.000704208,203608,242.849,76.8393,8.63563,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,1,100,1.61108,0.000742586,306276,249.928,63.1331,12.5866,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,1,100,3.31163,0.0147778,637282,253.308,47.1787,25.8721,32768,16
