name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,0,0,100,0.0903272,0.000163952,25891.7,2228.86,563.024,0.705682,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,1,0,0,0,100,0.138779,0.00103278,25985.9,1450.7,366.457,1.08421,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,0,0,100,0.302324,0.00193246,25891.7,2663.72,672.874,0.590476,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,1,0,0,0,100,0.420726,0.00114475,25985.9,1914.09,483.511,0.821731,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,0,0,100,0.156193,0.000632704,54102.2,2685.33,500.147,1.22026,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,1,0,0,0,100,0.428638,0.0020682,54791.6,978.519,182.25,3.34874,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,0,0,100,0.556193,0.00788464,54102.2,3016.44,561.815,1.08631,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,1,0,0,0,100,1.53103,0.0115144,54791.6,1095.81,204.096,2.9903,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,0,0,100,0.28495,0.00110222,107842,2943.88,458.144,2.22617,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,1,0,0,0,100,0.798506,0.00386186,109238,1050.54,163.491,6.23832,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,0,0,100,0.999146,0.00533935,107842,3358.31,522.639,1.95146,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,1,0,0,0,100,2.8937,0.0315011,109238,1159.57,180.459,5.65176,16384,16
