name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,0,0,100,0.118432,0.000117621,25891.7,1699.94,429.415,0.925249,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,1,0,0,0,100,0.129209,0.000104521,25985.9,1558.14,393.597,1.00945,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,0,0,100,0.461167,0.000349703,25891.7,1746.23,441.11,0.900718,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,1,0,0,0,100,0.497976,0.00124155,25985.9,1617.16,408.505,0.97261,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,0,0,100,0.197286,0.000172842,54102.2,2126.01,395.971,1.54129,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,1,0,0,0,100,0.204259,0.000160122,54791.6,2053.42,382.453,1.59577,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,0,0,100,0.857982,0.00505387,54102.2,1955.43,364.201,1.67575,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,1,0,0,0,100,0.927034,0.023708,54791.6,1809.77,337.073,1.81061,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,0,0,100,0.380901,0.00697607,107842,2202.31,342.735,2.97579,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,1,0,0,0,100,0.398971,0.00185397,109238,2102.56,327.213,3.11696,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,0,0,100,1.64772,0.00433314,107842,2036.41,316.918,3.21821,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,1,0,0,0,100,1.72944,0.0135189,109238,1940.19,301.943,3.37782,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,0,0,100,0.226146,0.000167493,52093.2,1780.5,449.764,1.76677,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,1,0,0,0,100,0.246885,0.000149702,52154.3,1630.93,411.983,1.92879,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,0,0,100,0.980291,0.000375664,52093.2,1642.99,415.029,1.91463,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,0,0,100,1.04696,0.000905593,52154.3,1538.37,388.601,2.04485,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,0,0,100,0.406537,0.000190691,108217,2063.43,384.315,3.17607,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,1,0,0,0,100,0.420053,0.000370458,108964,1997.04,371.949,3.28166,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,0,0,100,1.72357,0.0156792,108217,1946.8,362.593,3.36634,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,0,0,100,1.76386,0.0070394,108964,1902.33,354.309,3.44505,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,0,0,100,0.800977,0.00637886,216964,2094.59,325.972,6.25764,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,128,1,0,0,0,100,0.847476,0.00819121,218798,1979.67,308.086,6.62091,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,0,0,100,3.15025,0.00404481,216964,2130.27,331.524,6.15284,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,0,0,100,3.32443,0.00178144,218798,2018.66,314.154,6.49302,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,0,0,100,0.464785,0.000280903,103998,1732.64,437.674,3.63113,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,128,1,0,0,0,100,0.501024,0.000232521,104581,1607.32,406.017,3.91425,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,0,0,100,1.9514,0.00135553,103998,1650.73,416.981,3.81133,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,512,1,0,0,0,100,2.08109,0.00155588,104581,1547.85,390.995,4.06464,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,0,0,100,0.865401,0.00618136,216727,1938.66,361.077,6.76095,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,128,1,0,0,0,100,0.894124,0.00818309,218114,1876.39,349.477,6.98535,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,512,0,0,0,0,100,3.40247,0.0161673,216727,1972.36,367.352,6.64544,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,512,1,0,0,0,100,3.50999,0.0110736,218114,1911.94,356.099,6.85544,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,128,0,0,0,0,100,1.59268,0.00110988,434145,2106.79,327.87,12.4428,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,128,1,0,0,0,100,1.67717,0.0127741,436769,2000.66,311.353,13.1029,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,512,0,0,0,0,64,6.30245,0.00943789,434145,2129.61,331.421,12.3095,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,512,1,0,0,0,61,6.64476,0.0246828,436769,2019.9,314.348,12.978,65536,16
