2760 MHz, 67
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       0       0       100         0.088043    4.9181e-05  11906.      571.67      339.43      0.68784     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     1       0       0       0       100         0.088542    4.7804e-05  11707.      568.45      337.52      0.69174     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       0       0       100         0.31945     0.00026601  11906.      630.22      374.20      0.62393     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     1       0       0       0       100         0.32151     0.00050241  11707.      626.18      371.80      0.62796     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     0       0       0       0       100         0.13871     0.00019204  24701.      755.94      313.72      1.0837      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     1       0       0       0       100         0.13894     0.00022749  24615.      754.69      313.20      1.0855      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       0       0       100         0.56382     0.0024024   24701.      743.91      308.72      1.1012      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     1       0       0       0       100         0.54770     0.0010756   24615.      765.80      317.81      1.0697      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     0       0       0       0       100         0.23975     0.00036003  49070.      874.71      290.84      1.8731      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     1       0       0       0       100         0.24361     0.0011266   49483.      860.88      286.24      1.9032      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     0       0       0       0       100         1.0723      0.0018406   49070.      782.29      260.11      2.0944      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     1       0       0       0       100         1.0442      0.014490    49483.      803.36      267.12      2.0394      16384       16          
