name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.0756235,8.73139e-05,2501.82,166.389,665.583,0.147702,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.0807844,5.32001e-05,4985.47,311.518,830.741,0.157782,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.151025,0.00129157,9973.15,333.267,666.548,0.294971,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.266645,0.000406543,19873.2,377.517,629.203,0.520792,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.387064,0.00219292,29813.5,390.103,606.832,0.755985,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,0.857139,0.000368509,61851.9,367.003,528.487,1.6741,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.120507,0.000223835,4887.63,208.833,678.723,0.235366,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.148075,0.000289139,9760.98,339.906,665.663,0.28921,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.254576,0.000711834,19640.9,395.416,518.991,0.497218,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.419085,0.000519411,38904.7,480.396,475.396,0.818525,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,0.602706,0.000545328,58388.2,501.057,441.908,1.17716,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,1.33547,0.00142555,121146,471.103,362.751,2.60834,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.174243,0.000394428,6451.22,192.573,589.766,0.340318,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.197764,0.000530624,12867.6,339.339,604.458,0.386257,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.33174,0.00162884,26000.9,404.587,461.488,0.64793,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,0.572115,0.000936498,51481.6,469.199,384.893,1.11741,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,0.825298,0.00463484,77229.6,487.888,348.131,1.61191,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,1.67176,0.00166339,160345,501.782,302.325,3.26516,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.297344,0.001133,9653.95,169.271,486.66,0.58075,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.323741,0.00102231,19228.3,310.938,498.803,0.632306,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,0.485567,0.00180775,38811.5,414.621,401.669,0.948374,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,0.838516,0.00293386,76689.6,480.197,312.631,1.63773,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,1.22919,0.00544913,115214,491.366,267.864,2.40075,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,100,2.31667,0.0576183,239515,543.146,236.269,4.52475,12288,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.450321,0.000770923,12664.7,149.024,414.479,0.879533,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.482065,0.00109295,25335.3,278.423,421.988,0.941533,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,0.633646,0.00246164,51255.3,423.637,373.995,1.23759,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,1.08891,0.00739248,101423,493.034,279.259,2.12678,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,1.60001,0.00809709,152420,503.315,231.998,3.12501,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,3.26229,0.0576775,316818,514.278,180.641,6.37166,16384,16
