name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.0131221,1.0438e-05,2501.82,958.908,2237.61,0.0256292,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.0195127,2.12054e-05,4985.47,1289.71,1934.67,0.0381108,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.0337432,3.74291e-05,9973.15,1491.61,1615.97,0.0659046,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.103079,0.000366802,19873.2,976.568,854.517,0.201325,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.138519,0.000125051,29813.5,1090.06,878.122,0.270546,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,0.260634,0.000299667,61851.9,1206.95,885.107,0.50905,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.021764,3.17135e-05,4887.63,1156.31,2216.35,0.0425078,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.0320051,3.87868e-05,9760.98,1572.62,1769.26,0.0625099,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.0610075,0.000394455,19640.9,1650.02,1203.17,0.119155,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.183596,0.000494213,38904.7,1096.58,582.567,0.358585,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,0.212927,0.000503532,58388.2,1418.28,659.902,0.415874,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,0.419253,0.00136084,121146,1500.64,595.257,0.818853,6144,6
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.0357687,4.86941e-05,6451.22,938.095,1700.35,0.0698607,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.047078,5.3744e-05,12867.6,1425.48,1470.07,0.0919493,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.129608,0.000315107,26000.9,1035.57,663.427,0.25314,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,0.226992,0.00071948,51481.6,1182.58,526.626,0.443343,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,0.268534,0.00111649,77229.6,1499.45,570.111,0.52448,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,0.549351,0.00380073,160345,1527,477.192,1.07295,8192,8
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.0990239,9.37024e-05,9653.95,508.278,868.329,0.193406,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.12387,0.000184443,19228.3,812.652,761.878,0.241934,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,0.196887,0.000470351,38811.5,1022.55,564.544,0.384544,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,0.319696,0.000819625,76689.6,1259.49,452.635,0.624405,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,0.41661,0.000727527,115214,1449.75,427.882,0.813692,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,100,0.859794,0.00324902,239515,1463.48,334.164,1.67928,12288,12
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.169198,0.000222196,12664.7,396.628,656.927,0.330466,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.185076,0.00022697,25335.3,725.204,645.896,0.361476,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,0.275789,0.000523713,51255.3,973.336,494.28,0.53865,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,0.426665,0.000904652,101423,1258.3,398.138,0.833329,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,0.591189,0.000794219,152420,1362.18,344.096,1.15467,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,1.22677,0.00335584,316818,1367.59,254.716,2.39603,16384,16
