2775 MHz, 54
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       0       100         0.016858    1.6889e-05  1134.1      186.60      1741.7      0.032926    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       0       100         0.021654    2.4438e-05  2210.6      290.54      1743.3      0.042294    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       4       512     0       0       1       0       100         0.048009    3.0182e-05  4394.9      262.09      1135.8      0.093768    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       8       512     0       0       1       0       100         0.10961     0.0012613   8677.2      229.59      803.58      0.21409     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       12      512     0       0       1       0       100         0.14993     0.00032159  13024.      251.77      811.28      0.29284     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       25      512     0       0       1       0       100         0.26155     0.00023394  26970.      300.68      882.01      0.51084     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       1       512     0       0       1       0       100         0.029840    3.1512e-05  1921.5      210.84      1616.5      0.058282    6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       2       512     0       0       1       0       100         0.041174    5.1004e-05  3775.3      305.61      1375.3      0.080417    6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       4       512     0       0       1       0       100         0.077472    0.00016275  7616.2      324.84      947.47      0.15131     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       8       512     0       0       1       0       100         0.17297     0.00054547  15100.      290.98      618.34      0.33784     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       12      512     0       0       1       0       100         0.22492     0.00096778  22678.      335.67      624.72      0.43929     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    6       25      512     0       0       1       0       100         0.37397     0.0031704   46974.      420.58      667.33      0.73042     6144        6           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       1       512     0       0       1       0       100         0.049707    4.0280e-05  2451.3      168.76      1223.5      0.097085    8192        8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       2       512     0       0       1       0       100         0.063745    5.7796e-05  4830.6      263.19      1085.7      0.12450     8192        8           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    8       4       512     0       0       1       0       100         0.13052     0.00096808  9744.1      257.09      658.80      0.25492     8192        8           
