name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.165254,0.00116983,1134.05,19.0358,177.68,0.322761,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.167027,0.000191281,2210.61,37.6672,226.016,0.326225,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,0,100,0.173375,0.00020007,4394.88,72.5764,314.509,0.338623,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,0,100,0.251787,0.000165348,8677.19,99.9488,349.829,0.491772,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,0,100,0.375497,0.00154812,13023.9,100.53,323.936,0.733392,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,0,100,0.707122,0.0132802,26970.4,111.216,326.236,1.3811,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,0,100,0.2011,0.000198472,1921.47,31.2852,239.864,0.392773,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,0,100,0.203003,0.000155854,3775.29,61.9838,278.937,0.396491,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,0,100,0.275146,0.00019559,7616.19,91.4636,266.776,0.537394,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,0,100,0.447342,0.000214169,15100.2,112.513,239.094,0.873716,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,0,100,0.624672,0.000220358,22678,120.859,224.936,1.22006,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,0,100,1.24187,0.000730091,46974.3,126.653,200.957,2.42553,6144,6
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,0,100,0.222203,0.000130058,2451.3,37.752,273.711,0.433991,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,0,100,0.226339,0.000232254,4830.64,74.1243,305.772,0.442069,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,0,100,0.347594,0.000237986,9744.12,96.5333,247.373,0.678895,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,0,100,0.573803,0.000165053,19326.3,116.954,208.329,1.12071,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,0,100,0.808111,0.000229817,28998.5,124.566,189.447,1.57834,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,0,100,1.61167,0.0103293,60059.3,130.123,162.655,3.14779,8192,8
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,0,100,0.256382,0.000231854,3521.24,49.0787,335.379,0.500746,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,0,100,0.307507,0.000676271,6912.31,81.8381,306.9,0.6006,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,0,100,0.528384,0.0168422,13925.8,95.2558,210.36,1.032,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,0,100,0.821317,0.000338844,27601.3,122.563,176.187,1.60413,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,0,100,1.16966,0.00176666,41478.4,129.093,152.403,2.28449,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,0,100,2.33096,0.00592342,85843.9,134.954,123.259,4.55266,12288,12
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,0,100,0.301533,0.000272033,4553.06,55.6397,368.62,0.588932,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,0,100,0.37628,0.000284578,8975.8,89.1741,317.688,0.734922,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,0,100,0.654293,0.00312838,18038.6,102.567,208.342,1.27792,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,0,100,1.0335,0.000743074,35800.6,129.868,164.366,2.01855,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,1.49437,0.0240574,53883,134.724,136.128,2.91868,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,3.00129,0.00638719,111275,139.75,104.115,5.86189,16384,16
