2775 MHz, 56
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       0       100         0.0084132   2.2382e-05  1134.1      373.90      2243.7      0.016432    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       0       100         0.010923    1.0757e-05  2210.6      575.99      2112.2      0.021334    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       512     0       0       1       0       100         0.032027    1.3835e-05  4394.9      392.89      982.28      0.062553    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       512     0       0       1       0       100         0.039568    0.00011903  8677.2      636.02      1219.1      0.077281    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      512     0       0       1       0       100         0.050225    0.00023776  13024.      751.60      1294.5      0.098095    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       25      512     0       0       1       0       100         0.16070     0.00020536  26970.      489.39      743.88      0.31386     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       1       512     0       0       1       0       100         0.012971    1.4093e-05  1921.5      485.02      2425.3      0.025335    6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       2       512     0       0       1       0       100         0.015708    3.7282e-05  3775.3      801.04      2269.8      0.030680    6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       4       512     0       0       1       0       100         0.045145    2.0127e-05  7616.2      557.45      975.58      0.088174    6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       8       512     0       0       1       0       100         0.053932    2.8363e-05  15100.      933.24      1127.7      0.10534     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       12      512     0       0       1       0       100         0.080116    4.5788e-05  22678.      942.35      968.55      0.15648     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       25      512     0       0       1       0       100         0.20900     0.00019903  46974.      752.57      632.17      0.40820     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       1       512     0       0       1       0       100         0.018138    2.3172e-05  2451.3      462.49      2196.9      0.035426    8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       2       512     0       0       1       0       100         0.022505    3.1601e-05  4830.6      745.50      1957.0      0.043954    8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       4       512     0       0       1       0       100         0.055923    6.5036e-05  9744.1      600.02      937.56      0.10922     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       8       512     0       0       1       0       100         0.067509    4.5574e-05  19326.      994.08      1025.2      0.13185     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       12      512     0       0       1       0       100         0.14905     0.00016148  28999.      675.35      576.88      0.29112     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       25      512     0       0       1       0       100         0.24768     0.00034727  60059.      846.71      567.30      0.48376     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      1       512     0       0       1       0       100         0.039032    4.4018e-05  3521.2      322.38      1450.7      0.076234    12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      2       512     0       0       1       0       100         0.044580    3.2276e-05  6912.3      564.51      1364.3      0.087071    12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      4       512     0       0       1       0       100         0.077668    5.5038e-05  13926.      648.03      891.07      0.15170     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      8       512     0       0       1       0       100         0.15215     0.00021817  27601.      661.59      565.12      0.29718     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      12      512     0       0       1       0       100         0.20398     0.0012376   41478.      740.24      503.78      0.39840     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      25      512     0       0       1       0       100         0.33137     0.00034758  85844.      949.30      474.65      0.64722     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       512     0       0       1       0       100         0.064179    4.9460e-05  4553.1      261.41      1143.7      0.12535     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       512     0       0       1       0       100         0.071678    5.3810e-05  8975.8      468.13      1082.6      0.14000     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       512     0       0       1       0       100         0.15188     0.00020560  18039.      441.86      566.15      0.29664     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       512     0       0       1       0       100         0.20229     0.00019123  35801.      663.50      508.00      0.39509     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       0       100         0.25025     0.00027856  53883.      804.51      477.68      0.48877     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       1       0       100         0.41355     0.00050708  1.1127e+05  1014.2      420.91      0.80771     16384       16          
2760 MHz, 69
