2775 MHz, 56
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       0       100         0.16189     0.00013354  1134.1      19.431      116.60      0.31620     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       0       100         0.16222     0.00013164  2210.6      38.783      142.22      0.31684     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       4       512     0       0       1       0       100         0.16434     0.00017886  4394.9      76.567      191.43      0.32097     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       8       512     0       0       1       0       100         0.17014     0.00016350  8677.2      147.92      283.52      0.33230     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       12      512     0       0       1       0       100         0.17935     0.00016239  13024.      210.48      362.50      0.35029     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       25      512     0       0       1       0       100         0.31184     0.00019649  26970.      252.19      383.33      0.60907     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       1       512     0       0       1       0       100         0.19725     0.00015221  1921.5      31.896      159.49      0.38525     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       2       512     0       0       1       0       100         0.19777     0.00015357  3775.3      63.623      180.28      0.38627     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       4       512     0       0       1       0       100         0.20045     0.00013537  7616.2      125.55      219.72      0.39150     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       8       512     0       0       1       0       100         0.22195     0.00025201  15100.      226.77      274.03      0.43349     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       12      512     0       0       1       0       100         0.29572     0.0052310   22678.      255.30      262.40      0.57758     6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    6       25      512     0       0       1       0       100         0.52534     0.0020490   46974.      299.40      251.50      1.0261      6144        6           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       1       512     0       0       1       0       100         0.21874     0.00017632  2451.3      38.349      182.17      0.42723     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       2       512     0       0       1       0       100         0.21921     0.00097614  4830.6      76.534      200.91      0.42815     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       4       512     0       0       1       0       100         0.22121     0.00015680  9744.1      151.68      237.02      0.43206     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       8       512     0       0       1       0       100         0.27366     0.0013140   19326.      245.23      252.90      0.53448     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       12      512     0       0       1       0       100         0.36920     0.00043494  28999.      272.65      232.90      0.72109     8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    8       25      512     0       0       1       0       100         0.66355     0.0012207   60059.      316.05      211.76      1.2960      8192        8           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      1       512     0       0       1       0       100         0.25323     0.00022231  3521.2      49.689      223.61      0.49460     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      2       512     0       0       1       0       100         0.25357     0.00016570  6912.3      99.247      239.86      0.49525     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      4       512     0       0       1       0       100         0.25505     0.00018695  13926.      197.34      271.35      0.49814     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      8       512     0       0       1       0       100         0.36649     0.00055724  27601.      274.67      234.62      0.71580     12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      12      512     0       0       1       0       100         0.51827     0.022480    41478.      291.35      198.28      1.0122      12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    12      25      512     0       0       1       0       100         0.93162     0.021255    85844.      337.66      168.83      1.8196      12288       12          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      1       512     0       0       1       0       100         0.27690     0.00096538  4553.1      60.590      265.09      0.54081     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      2       512     0       0       1       0       100         0.27663     0.00098089  8975.8      121.30      280.51      0.54029     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      4       512     0       0       1       0       100         0.29673     0.00035684  18039.      226.16      289.78      0.57955     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      8       512     0       0       1       0       100         0.44163     0.00033812  35801.      303.92      232.69      0.86255     16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       0       100         0.61680     0.0028524   53883.      326.40      193.81      1.2047      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       1       0       100         1.1150      0.0026342   1.1127e+05  376.17      156.11      2.1777      16384       16          
2760 MHz, 67
