name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.0665782,0.000112895,2521.86,188.994,756.008,0.130036,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.121096,0.000245022,4971.24,207.818,554.198,0.236515,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.280419,0.000424342,9997.29,179.488,358.982,0.547692,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.729276,0.000902668,19845.7,138.032,230.056,1.42437,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,1.15633,0.0050408,29807,130.581,203.128,2.25846,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,1,100,2.58741,0.0115544,61992.1,121.578,175.074,5.05353,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,1,100,0.140914,0.000279863,4875.64,178.59,580.432,0.275223,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,1,100,0.259859,0.000355566,9659.83,193.688,379.313,0.507538,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,1,100,0.538666,0.000585493,19555.1,186.875,245.277,1.05208,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,1,100,1.21517,0.00522469,38831.6,165.677,163.953,2.37339,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,1,100,1.86763,0.00621093,58402.6,161.697,142.609,3.64772,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,1,94,4.28895,0.0199,121445,146.69,112.952,8.37685,6144,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,1,100,0.226332,0.000439102,6455.89,148.253,454.035,0.442055,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,1,100,0.368577,0.000510318,12840.9,182.076,324.328,0.719876,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,1,100,0.71644,0.0013099,25899.9,187.34,213.687,1.3993,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,1,100,1.53187,0.00595717,51462.5,175.234,143.748,2.99193,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,1,100,2.36896,0.00538932,77374.9,169.971,121.282,4.62687,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,1,77,5.22837,0.011692,160756,160.444,96.6679,10.2117,8192,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,1,100,0.368523,0.000586885,9662,136.577,392.664,0.719771,12288,12
