name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.029397,0.000149678,1134.05,107.009,642.122,0.0574159,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.0526108,4.11234e-05,2210.61,119.585,438.516,0.102756,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,4,512,0,0,1,1,100,0.0985797,5.90138e-05,4394.88,127.642,319.126,0.192539,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,8,512,0,0,1,1,100,0.197135,0.000215811,8677.19,127.657,244.687,0.38503,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,12,512,0,0,1,1,100,0.306623,0.000354709,13023.9,123.111,212.032,0.598873,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,25,512,0,0,1,1,100,0.720468,0.00120095,26970.4,109.156,165.92,1.40716,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,1,512,0,0,1,1,100,0.0604789,7.23937e-05,1921.47,104.027,520.17,0.118123,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,2,512,0,0,1,1,100,0.110836,0.000227371,3775.29,113.528,321.681,0.216476,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,4,512,0,0,1,1,100,0.20902,0.00145007,7616.19,120.399,210.708,0.408242,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,8,512,0,0,1,1,100,0.41763,0.000609404,15100.2,120.517,145.63,0.815684,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,12,512,0,0,1,1,100,0.678847,0.000928183,22678,111.214,114.307,1.32587,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,6,25,512,0,0,1,1,100,1.41669,0.00483525,46974.3,111.024,93.2614,2.76698,6144,6
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,1,512,0,0,1,1,100,0.0844712,9.0657e-05,2451.3,99.3073,471.734,0.164983,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,2,512,0,0,1,1,100,0.150975,0.00031215,4830.64,111.126,291.719,0.294873,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,4,512,0,0,1,1,100,0.28294,0.000478542,9744.12,118.592,185.307,0.552618,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,8,512,0,0,1,1,100,0.572342,0.000755512,19326.3,117.253,120.921,1.11785,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,12,512,0,0,1,1,100,0.915515,0.00128269,28998.5,109.953,93.9202,1.78811,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,8,25,512,0,0,1,1,100,1.91179,0.00790164,60059.3,109.696,73.4971,3.73397,8192,8
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,1,512,0,0,1,1,100,0.142148,0.000344299,3521.24,88.5201,398.355,0.277632,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,2,512,0,0,1,1,100,0.240695,0.000594813,6912.31,104.555,252.682,0.470108,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,4,512,0,0,1,1,100,0.431402,0.00058569,13925.8,116.67,160.426,0.842582,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,8,512,0,0,1,1,100,0.894246,0.00275759,27601.3,112.568,96.154,1.74657,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,12,512,0,0,1,1,100,1.43854,0.00521045,41478.4,104.964,71.4353,2.80965,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,12,25,512,0,0,1,1,100,2.949,0.0133045,85843.9,106.671,53.3362,5.75976,12288,12
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,1,512,0,0,1,1,100,0.208331,0.00178222,4553.06,80.5314,352.335,0.406897,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,2,512,0,0,1,1,100,0.331925,0.00205563,8975.8,101.09,233.778,0.648291,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,4,512,0,0,1,1,100,0.57594,0.000754776,18038.6,116.521,149.296,1.12488,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,8,512,0,0,1,1,100,1.20801,0.00495391,35800.6,111.107,85.0677,2.35939,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,1,100,1.93959,0.00727388,53883,103.799,61.6315,3.78826,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,1,100,3.99512,0.015393,111275,104.986,43.5696,7.80297,16384,16
