name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,1,128,0,0,1,1,100,0.0913452,0.000232541,4963.07,68.8756,275.508,0.713634,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,2,128,0,0,1,1,100,0.0957248,5.96376e-05,10110.9,131.449,350.535,0.74785,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,4,128,0,0,1,1,100,0.143929,0.000288212,19918,174.848,349.7,1.12445,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,8,128,0,0,1,1,100,0.227557,0.000276703,39482.5,221.183,368.641,1.77779,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,12,128,0,0,1,1,100,0.407955,0.000368076,59430.8,185.063,287.877,3.18715,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,3,25,128,0,0,1,1,100,1.02636,0.00163642,123398,153.247,220.676,8.01845,6144,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,1,128,0,0,1,1,100,0.120558,0.000269479,9716.28,104.372,339.214,0.941859,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,2,128,0,0,1,1,100,0.158804,0.00018971,19740.8,158.471,310.341,1.24066,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,4,128,0,0,1,1,100,0.259611,0.00105291,39161.6,193.873,254.461,2.02821,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,8,128,0,0,1,1,100,0.442639,0.00103713,77964.9,227.416,225.048,3.45812,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,12,128,0,0,1,1,100,0.685025,0.00490421,117269,220.423,194.401,5.35176,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,6,25,128,0,0,1,1,100,1.61168,0.0228582,243828,195.183,150.291,12.5912,12288,6
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,1,128,0,0,1,1,100,0.149133,0.000215554,12935.5,112.499,344.53,1.1651,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,2,128,0,0,1,1,100,0.199784,0.000243209,26240.7,167.954,299.17,1.56081,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,4,128,0,0,1,1,100,0.335417,0.000519463,52038,200.076,228.213,2.62044,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,8,128,0,0,1,1,100,0.550619,0.000265351,103452,243.758,199.959,4.30171,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,12,128,0,0,1,1,100,0.87489,0.000607674,155503,230.116,164.198,6.83508,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,8,25,128,0,0,1,1,100,1.961,0.00175138,323527,213.887,128.867,15.3203,16384,8
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,1,128,0,0,1,1,100,0.20272,0.00122386,19303.1,124.141,356.907,1.58375,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,2,128,0,0,1,1,100,0.279394,0.000276611,38931.7,180.146,288.986,2.18277,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,4,128,0,0,1,1,100,0.483078,0.000698743,77186,208.379,201.868,3.77404,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,8,128,0,0,1,1,100,0.812766,0.000231387,153934,247.705,161.267,6.34974,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,12,128,0,0,1,1,100,1.26298,0.00127271,231519,239.108,130.348,9.86706,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,12,25,128,0,0,1,1,100,2.73484,0.00172423,481803,230.049,100.071,21.3659,24576,12
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,1,128,0,0,1,1,100,0.262234,0.00149738,25507,127.956,355.879,2.04871,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,2,128,0,0,1,1,100,0.354655,0.000302462,51459.4,189.223,286.792,2.77075,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,4,128,0,0,1,1,100,0.626273,0.00159024,102084,214.312,189.198,4.89275,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,8,128,0,0,1,1,100,1.06115,0.00100451,203608,252.966,143.282,8.29024,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,1,100,1.66162,0.00169777,306276,242.325,111.697,12.9814,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,1,100,3.49629,0.00361485,637282,239.929,84.2752,27.3147,32768,16
