2760 MHz, 63
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       1       128     0       0       1       1       100         0.091345    0.00023254  4963.1      68.876      275.51      0.71363     6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       2       128     0       0       1       1       100         0.095725    5.9638e-05  10111.      131.45      350.54      0.74785     6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       4       128     0       0       1       1       100         0.14393     0.00028821  19918.      174.85      349.70      1.1244      6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       8       128     0       0       1       1       100         0.22756     0.00027670  39482.      221.18      368.64      1.7778      6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       12      128     0       0       1       1       100         0.40796     0.00036808  59431.      185.06      287.88      3.1871      6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    3       25      128     0       0       1       1       100         1.0264      0.0016364   1.2340e+05  153.25      220.68      8.0184      6144        3           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       1       128     0       0       1       1       100         0.12056     0.00026948  9716.3      104.37      339.21      0.94186     12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       2       128     0       0       1       1       100         0.15880     0.00018971  19741.      158.47      310.34      1.2407      12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       4       128     0       0       1       1       100         0.25961     0.0010529   39162.      193.87      254.46      2.0282      12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       8       128     0       0       1       1       100         0.44264     0.0010371   77965.      227.42      225.05      3.4581      12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       12      128     0       0       1       1       100         0.68502     0.0049042   1.1727e+05  220.42      194.40      5.3518      12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    6       25      128     0       0       1       1       100         1.6117      0.022858    2.4383e+05  195.18      150.29      12.591      12288       6           
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    8       1       128     0       0       1       1       100         0.14913     0.00021555  12936.      112.50      344.53      1.1651      16384       8           
