210 MHz, 47
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      8       512     1       0       0       0       100         0.93423     0.0012067   34891.      1149.3      363.66      1.8247      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      8       512     1       0       1       0       100         1.1216      0.0029369   2.0418e+05  957.34      302.91      2.1906      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      9       512     1       0       0       0       100         0.86378     0.00072094  39141.      1398.5      412.74      1.6871      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      9       512     1       0       1       0       100         1.3958      0.0099157   2.2992e+05  865.42      255.42      2.7262      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     1       0       0       0       100         1.1524      0.0015938   52154.      1397.6      353.04      2.2508      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     1       0       1       0       100         1.4042      0.0014912   3.0719e+05  1147.0      289.74      2.7426      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      16      512     1       0       0       0       100         1.7043      0.013592    69771.      1260.0      278.10      3.3287      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      16      512     1       0       1       0       100         1.7832      0.0014154   4.0754e+05  1204.3      265.78      3.4829      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      17      512     1       0       0       0       100         1.3392      0.0013031   73932.      1703.8      366.44      2.6156      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      17      512     1       0       1       0       100         2.2189      0.0017222   4.3342e+05  1028.3      221.16      4.3337      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      20      512     1       0       0       0       100         1.5514      0.012065    86755.      1730.3      348.76      3.0301      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      20      512     1       0       1       0       100         2.6332      0.0013977   5.0908e+05  1019.4      205.48      5.1429      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     1       0       0       0       100         1.7603      0.0018641   1.0896e+05  1906.1      355.02      3.4381      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     1       0       1       0       100         3.1370      0.0016738   6.3730e+05  1069.6      199.22      6.1270      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      32      512     1       0       0       0       100         3.1341      0.0012969   1.3966e+05  1370.4      236.88      6.1212      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      32      512     1       0       1       0       100         3.2975      0.0019908   8.1510e+05  1302.5      225.14      6.4404      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      512     1       0       0       0       100         3.4316      0.028478    2.1880e+05  1955.6      304.35      6.7023      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      50      512     1       0       1       0       64          6.2790      0.0019981   1.2760e+06  1068.8      166.33      12.264      32768       16          
2760 MHz, 69
