typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cfloat,cfedge,0,2048,16,8,512,1,0,0,0.934231,0.588768,0.6302167237010974,0.002220127452578945,0.0012916184541082452,0.002220127452578945,34891.3,34891.3,True,363.658,577.037,0.3607718253968254,0.5724573412698413,339.740672,False
cfloat,cfedge,0,2048,16,8,512,1,0,1,1.12159,0.751738,0.670243136975187,0.0026185147870433937,0.0026185147870433937,0.0008256679853885263,204184.0,204184.0,True,302.909,451.94,0.3005049603174603,0.4483531746031746,339.740672,False
cfloat,cfedge,0,2048,16,9,512,1,0,0,0.863776,0.615783,0.7128966306079354,0.001774618656247412,0.0008346376838439596,0.001774618656247412,39141.1,39141.1,True,412.744,578.966,0.409468253968254,0.5743710317460318,356.517888,False
cfloat,cfedge,0,2048,16,9,512,1,0,1,1.39581,1.19455,0.8558113210250679,0.007103896662153158,0.007103896662153158,0.00227384370683521,229924.0,229924.0,True,255.42,298.453,0.25339285714285714,0.2960843253968254,356.517888,False
cfloat,cfedge,0,2048,16,12,512,1,0,0,1.15242,0.794466,0.6893892851564534,0.0032988699327598666,0.00138302007948491,0.0032988699327598666,52154.3,52154.3,True,353.039,512.104,0.35023710317460316,0.5080396825396826,406.849536,False
cfloat,cfedge,0,2048,16,12,512,1,0,1,1.40419,1.24668,0.8878285702077354,0.004513106811691854,0.0010619787920438117,0.004513106811691854,307186.0,307186.0,True,289.739,326.347,0.2874394841269841,0.3237569444444444,406.849536,False
cfloat,cfedge,0,2048,16,16,512,1,0,0,1.70429,1.85337,1.0874733760099513,0.007975168545259316,0.007975168545259316,0.0025865369570026494,69771.2,69771.2,True,278.098,255.728,0.275890873015873,0.2536984126984127,473.9584,False
cfloat,cfedge,0,2048,16,16,512,1,0,1,1.78324,1.71792,0.9633700455350934,0.0029933931731396107,0.0007937406069850385,0.0029933931731396107,407536.0,407536.0,True,265.785,275.891,0.26367559523809525,0.2737013888888889,473.9584,False
cfloat,cfedge,0,2048,16,17,512,1,0,0,1.33918,1.76148,1.3153422243462416,0.0055082600994618165,0.0009730282710315267,0.0055082600994618165,73932.2,73932.2,True,366.445,278.593,0.3635367063492063,0.27638194444444447,490.735616,False
cfloat,cfedge,0,2048,16,17,512,1,0,1,2.21887,2.17237,0.9790433869492129,0.002598024277632263,0.0007761473182295493,0.002598024277632263,433416.0,433416.0,True,221.164,225.899,0.21940873015873014,0.2241061507936508,490.735616,False
cfloat,cfedge,0,2048,16,20,512,1,0,0,1.55142,1.88906,1.2176328782663624,0.011668501794543318,0.0077770687499194285,0.011668501794543318,86755.3,86755.3,True,348.756,286.421,0.3459880952380952,0.2841478174603175,541.067264,False
cfloat,cfedge,0,2048,16,20,512,1,0,1,2.63318,2.08929,0.7934474665613441,0.003493162749067865,0.0005307954640396783,0.003493162749067865,509084.0,509084.0,True,205.481,258.972,0.2038501984126984,0.2569166666666666,541.067264,False
cfloat,cfedge,0,2048,16,25,512,1,0,0,1.76033,3.04761,1.731271977413326,0.0032822113065648162,0.001058943493549505,0.0032822113065648162,108964.0,108964.0,True,355.021,205.064,0.352203373015873,0.20343650793650794,624.953344,False
cfloat,cfedge,0,2048,16,25,512,1,0,1,3.13701,3.13594,0.9996589108737302,0.00746200501285101,0.0005335654014491507,0.00746200501285101,637304.0,637304.0,True,199.22,199.287,0.1976388888888889,0.19770535714285714,624.953344,False
cfloat,cfedge,0,2048,16,32,512,1,0,0,3.13407,3.63314,1.1592402211820414,0.003192059760978107,0.0004138165388775618,0.003192059760978107,139657.0,139657.0,True,236.878,204.339,0.23499801587301586,0.20271726190476191,742.393856,False
cfloat,cfedge,0,2048,16,32,512,1,0,1,3.2975,3.35922,1.0187172100075816,0.0009805014259262567,0.0006037361637604246,0.0009805014259262567,815096.0,815096.0,True,225.139,221.002,0.22335218253968256,0.21924801587301587,742.393856,False
cfloat,cfedge,0,2048,16,50,512,1,0,0,3.43157,5.81608,1.69487435780124,0.01222622453611367,0.00829876703666252,0.01222622453611367,218798.0,218798.0,True,304.346,179.568,0.30193055555555554,0.17814285714285716,1044.383744,False
cfloat,cfedge,0,2048,16,50,512,1,0,1,6.27898,5.98276,0.9528235477736829,0.002141018526566334,0.000318214104838684,0.002141018526566334,1275990.0,1275990.0,True,166.33,174.566,0.16500992063492065,0.17318055555555556,1044.383744,False
float,cfedge,0,2048,16,8,512,1,0,0,0.575739,0.233844,0.4061632093709129,0.0007651725081678385,0.0006224504506382232,0.0007651725081678385,15784.6,15784.6,True,356.972,878.888,0.3541388888888889,0.8719126984126985,205.522944,False
