name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,8,512,1,0,0,0,100,0.575393,0.000367254,15784.6,466.526,357.187,1.12381,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,8,512,1,0,1,0,100,0.706945,0.000408299,71614.4,379.712,290.72,1.38075,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,9,512,1,0,0,0,100,0.594427,0.000602964,17641.5,508.035,359.862,1.16099,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,9,512,1,0,1,0,100,0.874937,0.0106727,80546.1,345.156,244.488,1.70886,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,0,0,100,0.670084,0.000977185,23546.4,600.9,356.787,1.30876,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,512,1,0,1,0,100,1.00587,0.126103,107426,400.303,237.682,1.96459,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,16,512,1,0,0,0,100,0.875549,0.00975344,31309.6,613.182,311.384,1.71006,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,16,512,1,0,1,0,100,1.21701,0.00147858,142831,441.141,224.018,2.37697,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,17,512,1,0,0,0,100,0.967417,0.00193563,33370.2,589.637,290.485,1.88949,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,17,512,1,0,1,0,100,1.44488,0.0020858,151655,394.79,194.493,2.82204,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,20,512,1,0,0,0,100,1.04312,0.00171894,39082.6,643.345,293.528,2.03735,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,20,512,1,0,1,0,100,1.83104,0.0559375,178284,366.508,167.22,3.57624,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,0,0,100,1.16013,0.0147186,48901.2,723.073,300.077,2.26589,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,512,1,0,1,0,100,2.12411,0.00296363,222847,394.924,163.894,4.14864,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,32,512,1,0,0,0,100,1.78781,0.00144825,62656.9,600.589,227.568,3.49182,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,32,512,1,0,1,0,100,2.41859,0.00363084,285972,443.953,168.217,4.72381,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,0,0,100,2.03277,0.0056118,98451.4,825.336,274.425,3.97026,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,50,512,1,0,1,0,94,4.3003,0.00195184,446853,390.14,129.722,8.39903,32768,16
