name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,0,100,0.0169719,1.92072e-05,949.616,11.5843,46.3392,2.12149,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,0,100,0.017064,2.4721e-05,2501.82,11.5218,46.0891,2.133,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,0,100,0.0254617,2.55907e-05,949.616,30.8868,123.552,0.79568,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,0,100,0.0254835,2.37045e-05,2501.82,30.8605,123.447,0.796359,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,0,100,0.0329032,3.70284e-05,949.616,47.8027,191.219,0.514113,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,0,100,0.0328734,3.28083e-05,2501.82,47.8461,191.392,0.513647,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,0,100,0.0523696,3.18128e-05,949.616,60.0678,240.281,0.409138,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,0,100,0.0522913,3.07943e-05,2501.82,60.1578,240.641,0.408525,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,0,100,0.0916339,0.000159006,949.616,68.6586,274.646,0.357945,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,0,100,0.0914745,2.85784e-05,2501.82,68.7782,275.124,0.357322,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,0,100,0.171541,0.000138147,949.616,73.3523,293.421,0.335041,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.171271,0.000114594,2501.82,73.4678,293.883,0.334514,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.331669,0.000196356,949.616,75.8762,303.517,0.323896,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.331491,0.00110683,2501.82,75.917,303.68,0.323722,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0183823,0.00042473,1907.93,21.3911,57.0446,2.29778,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.017977,1.94179e-05,4985.47,21.8733,58.3305,2.24713,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0280211,2.98121e-05,1907.93,56.1315,149.689,0.875658,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.0278333,2.3839e-05,4985.47,56.5101,150.698,0.869791,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.0373648,4.64589e-05,1907.93,84.1896,224.513,0.583825,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.0375296,3.47174e-05,4985.47,83.8199,223.527,0.5864,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.0571108,3.5314e-05,1907.93,110.162,293.775,0.446178,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0574468,0.000177715,4985.47,109.518,292.057,0.448803,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,0,100,0.0987421,9.51567e-05,1907.93,127.432,339.829,0.385711,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,0,100,0.0990802,9.61536e-05,4985.47,126.997,338.67,0.387032,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,0,100,0.18339,0.000199684,1907.93,137.226,365.946,0.358184,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.184024,0.000226533,4985.47,136.753,364.686,0.359421,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.355157,0.000278696,1907.93,141.717,377.923,0.346833,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.356782,0.000270793,4985.47,141.071,376.201,0.34842,3072,3
