2760 MHz, 59
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       0       0       100         0.0030013   0.00011971  949.62      65.509      152.86      0.37516     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       1       0       100         0.0029685   3.6617e-05  2501.8      66.231      154.55      0.37107     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       0       0       100         0.0029523   4.3362e-05  949.62      266.38      621.60      0.092258    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       1       0       100         0.0033858   0.00031302  2501.8      232.27      542.01      0.10581     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       0       0       100         0.0029984   9.7712e-05  949.62      524.57      1224.1      0.046850    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       1       0       100         0.0037225   1.4821e-06  2501.8      422.53      985.98      0.058163    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       0       0       100         0.0034201   1.4482e-06  949.62      919.78      2146.3      0.026719    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       1       0       100         0.0049058   2.4061e-06  2501.8      641.23      1496.3      0.038327    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       0       0       100         0.0048523   0.00013846  949.62      1296.6      3025.6      0.018954    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       1       0       100         0.0076194   9.8064e-05  2501.8      825.71      1926.8      0.029763    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       0       0       100         0.0075373   7.4311e-05  949.62      1669.4      3895.6      0.014721    3072        3           
