name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,0,100,0.00291407,7.07805e-05,440.696,16.8671,101.214,0.364259,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,0,100,0.00290498,5.08096e-05,1134.05,16.9199,101.53,0.363123,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,0,100,0.00290325,4.94266e-05,440.696,67.72,406.364,0.0907266,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,0,100,0.00307686,1.7096e-05,1134.05,63.899,383.436,0.0961517,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,0,100,0.00292844,5.66418e-05,440.696,134.275,805.738,0.0457568,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,0,100,0.00322141,1.18241e-05,1134.05,122.063,732.459,0.0503346,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,0,100,0.00294976,2.21261e-05,440.696,266.609,1599.82,0.023045,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,0,100,0.00360609,5.03635e-06,1134.05,218.084,1308.65,0.0281726,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,0,100,0.00398451,1.51721e-06,440.696,394.745,2368.72,0.0155645,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,0,100,0.00542059,1.12418e-05,1134.05,290.165,1741.18,0.0211742,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,0,100,0.00595273,2.33177e-06,440.696,528.451,3171.05,0.0116264,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.00842077,6.21165e-05,1134.05,373.568,2241.65,0.0164468,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.010153,7.00467e-05,440.696,619.665,3718.4,0.00991503,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.0152473,5.94222e-05,1134.05,412.628,2476.04,0.0148899,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.00292661,2.38345e-05,874.683,33.5897,123.173,0.365827,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.00292084,2.4475e-05,2210.61,33.6561,123.416,0.365105,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0029359,2.6198e-05,874.683,133.934,491.134,0.0917468,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.00325711,4.81651e-05,2210.61,120.725,442.699,0.101785,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.00293286,3.19541e-05,874.683,268.146,983.288,0.0458259,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.00356479,1.8004e-06,2210.61,220.611,808.979,0.0556999,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.00306739,5.97279e-05,874.683,512.77,1880.32,0.023964,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.00420258,2.06886e-06,2210.61,374.262,1372.42,0.0328326,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,0,100,0.00419979,1.5176e-06,874.683,749.02,2746.65,0.0164054,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,0,100,0.00618903,1.47775e-05,2210.61,508.275,1863.84,0.0241759,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,0,100,0.00640402,6.2288e-05,874.683,982.423,3602.54,0.0125078,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.0109025,1.17075e-05,2210.61,577.066,2116.1,0.0212939,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.0113648,6.25939e-05,874.683,1107.18,4060.04,0.0110984,3072,3
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.0209984,0.000115715,2210.61,599.231,2197.38,0.0205063,3072,3
