name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,1,100,0.0053942,0.000423051,940.249,36.448,145.798,0.674275,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,1,100,0.00579744,7.90757e-06,2521.86,33.9129,135.657,0.72468,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,1,100,0.00659505,0.000149609,940.249,119.246,477.003,0.206095,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,1,100,0.00919348,3.69775e-06,2521.86,85.5423,342.183,0.287296,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,1,100,0.0100218,1.03296e-05,940.249,156.944,627.803,0.15659,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,1,100,0.0132571,1.46438e-05,2521.86,118.643,474.592,0.207142,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,1,100,0.0154439,1.74395e-05,940.249,203.688,814.783,0.120655,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0216782,2.03203e-05,2521.86,145.11,580.464,0.169361,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,1,100,0.0263834,2.45624e-05,940.249,238.463,953.89,0.10306,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.036981,2.98732e-05,2521.86,170.127,680.534,0.144457,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,1,100,0.046759,2.58279e-05,940.249,269.102,1076.45,0.0913261,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.0664565,0.000228074,2521.86,189.341,757.393,0.129798,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,1,100,0.123909,0.000171804,940.249,203.099,812.428,0.121005,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.159336,0.000332854,2521.86,157.942,631.793,0.155602,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,1,100,0.00617389,0.000909195,1874.14,63.6902,169.846,0.771736,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,1,100,0.00718138,0.000246359,4971.24,54.7549,146.018,0.897673,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,1,100,0.00906122,0.000104293,1874.14,173.582,462.899,0.283163,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,1,100,0.0128035,1.22935e-05,4971.24,122.846,327.601,0.400109,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,1,100,0.0152015,2.14123e-05,1874.14,206.936,551.845,0.237523,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,1,100,0.0207428,1.79418e-05,4971.24,151.654,404.422,0.324107,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,1,100,0.0256817,0.000125889,1874.14,244.978,653.295,0.200638,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.035104,2.7854e-05,4971.24,179.223,477.943,0.27425,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,1,100,0.0487973,7.09058e-05,1874.14,257.861,687.65,0.190614,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0641837,0.000207789,4971.24,196.045,522.804,0.250718,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,1,100,0.0890343,0.000217146,1874.14,282.653,753.764,0.173895,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.121312,0.000244327,4971.24,207.446,553.207,0.236938,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,1,100,0.22866,0.000348176,1874.14,220.115,586.992,0.223301,3072,3
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.31352,0.00142915,4971.24,160.537,428.112,0.306172,3072,3
