2760 MHz, 69
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       8       0       0       0       1       100         0.0051945   7.4107e-05  458.72      9.4623      88.321      0.64931     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       8       0       0       1       1       100         0.0052670   6.7700e-05  1134.1      9.3320      87.105      0.65838     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       32      0       0       0       1       100         0.0053821   0.00041603  458.72      36.530      340.97      0.16819     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       32      0       0       1       1       100         0.0060907   0.00015694  1134.1      32.280      301.30      0.19033     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       64      0       0       0       1       100         0.0058318   0.00014865  458.72      67.426      629.36      0.091122    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       64      0       0       1       1       100         0.0076603   2.3286e-05  1134.1      51.332      479.13      0.11969     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       128     0       0       0       1       100         0.0085934   0.00041204  458.72      91.515      854.20      0.067136    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       128     0       0       1       1       100         0.010998    1.9295e-05  1134.1      71.509      667.46      0.085920    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       256     0       0       0       1       100         0.013765    7.3534e-06  458.72      114.27      1066.6      0.053768    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       256     0       0       1       1       100         0.018399    2.1379e-05  1134.1      85.488      797.94      0.071870    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       0       1       100         0.023918    1.9154e-05  458.72      131.52      1227.6      0.046715    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       1       100         0.032168    2.8063e-05  1134.1      97.792      912.79      0.062827    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       1024    0       0       0       1       100         0.044170    8.7155e-06  458.72      142.44      1329.5      0.043134    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       1024    0       0       1       1       100         0.059195    0.00024125  1134.1      106.28      992.05      0.057808    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       0       1       100         0.0052607   0.00019694  885.78      18.687      112.13      0.65758     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       1       1       100         0.0054987   0.00053948  2210.6      17.878      107.27      0.68734     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       0       1       100         0.0055282   6.3367e-05  885.78      71.129      426.80      0.17276     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       1       1       100         0.0075710   0.00014226  2210.6      51.937      311.64      0.23659     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       0       1       100         0.0081520   3.7822e-06  885.78      96.471      578.86      0.12737     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       1       1       100         0.010694    8.1042e-06  2210.6      73.537      441.24      0.16710     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       0       1       100         0.013657    1.2203e-05  885.78      115.17      691.06      0.10669     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       1       1       100         0.017514    1.3729e-05  2210.6      89.808      538.88      0.13682     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       256     0       0       0       1       100         0.023882    1.2300e-05  885.78      131.72      790.36      0.093289    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       256     0       0       1       1       100         0.031823    3.1595e-05  2210.6      98.850      593.13      0.12431     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       0       1       100         0.044222    0.00012386  885.78      142.27      853.66      0.086371    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       1       100         0.058443    4.8652e-05  2210.6      107.65      645.94      0.11415     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1024    0       0       0       1       100         0.085998    4.6556e-05  885.78      146.32      877.95      0.083982    3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1024    0       0       1       1       100         0.11166     0.00018635  2210.6      112.69      676.17      0.10904     3072        3           
2775 MHz, 59
