2760 MHz, 66
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       8       0       0       0       1       100         0.0052624   0.00010525  458.72      9.3402      56.047      0.65780     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       8       0       0       1       1       100         0.0072096   0.00021504  1134.1      6.8176      40.910      0.90120     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       32      0       0       0       1       100         0.0072456   0.00023348  458.72      27.135      162.83      0.22642     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       32      0       0       1       1       100         0.0055383   0.00014957  1134.1      35.500      213.02      0.17307     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       64      0       0       0       1       100         0.0053583   0.00035912  458.72      73.385      440.36      0.083723    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       64      0       0       1       1       100         0.0069768   4.1470e-05  1134.1      56.361      338.20      0.10901     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       128     0       0       0       1       100         0.0052566   4.5296e-05  458.72      149.61      897.74      0.041068    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       128     0       0       1       1       100         0.010098    9.8620e-06  1134.1      77.882      467.34      0.078888    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       256     0       0       0       1       100         0.0069044   8.2245e-06  458.72      227.81      1367.0      0.026970    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       256     0       0       1       1       100         0.017385    2.9831e-05  1134.1      90.471      542.88      0.067911    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       0       1       100         0.010305    1.0942e-05  458.72      305.27      1831.8      0.020127    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       1       100         0.029269    2.7777e-05  1134.1      107.48      644.92      0.057166    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       1024    0       0       0       1       100         0.016920    1.2014e-05  458.72      371.83      2231.2      0.016524    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       1024    0       0       1       1       100         0.054122    3.8736e-05  1134.1      116.25      697.55      0.052853    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       8       0       0       0       1       100         0.0052606   0.00013345  885.78      18.687      68.524      0.65758     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       8       0       0       1       1       100         0.0053158   0.00013405  2210.6      18.493      67.813      0.66447     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       32      0       0       0       1       100         0.0052790   7.7201e-05  885.78      74.487      273.14      0.16497     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       32      0       0       1       1       100         0.0067285   6.5340e-06  2210.6      58.441      214.30      0.21026     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       64      0       0       0       1       100         0.0052933   7.1416e-05  885.78      148.57      544.81      0.082708    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       64      0       0       1       1       100         0.0095235   2.6183e-06  2210.6      82.578      302.81      0.14880     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       128     0       0       0       1       100         0.0064149   2.4712e-06  885.78      245.19      899.10      0.050117    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       128     0       0       1       1       100         0.016434    1.5080e-05  2210.6      95.709      350.96      0.12839     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       256     0       0       0       1       100         0.0095889   4.4926e-06  885.78      328.06      1203.0      0.037457    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       256     0       0       1       1       100         0.029055    5.5013e-05  2210.6      108.27      397.02      0.11349     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       0       1       100         0.015611    1.1637e-05  885.78      403.02      1477.9      0.030490    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       1       100         0.052689    4.4397e-05  2210.6      119.41      437.86      0.10291     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1024    0       0       0       1       100         0.027593    1.3242e-05  885.78      456.02      1672.2      0.026946    3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1024    0       0       1       1       100         0.10075     0.00019889  2210.6      124.89      457.96      0.098392    3072        3           
2775 MHz, 58
