2760 MHz, 65
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       8       0       0       0       1       100         0.018418    0.0015676   458.72      2.6687      16.014      2.3022      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       8       0       0       1       1       100         0.016739    0.00038020  1134.1      2.9363      17.620      2.0924      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       32      0       0       0       1       100         0.021563    2.4588e-05  458.72      9.1180      54.714      0.67383     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       32      0       0       1       1       100         0.021710    2.6973e-05  1134.1      9.0560      54.342      0.67845     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       64      0       0       0       1       100         0.029943    2.4203e-05  458.72      13.132      78.802      0.46786     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       64      0       0       1       1       100         0.030007    2.9398e-05  1134.1      13.104      78.633      0.46886     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       128     0       0       0       1       100         0.052615    0.00011967  458.72      14.947      89.691      0.41105     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       128     0       0       1       1       100         0.089220    0.00020589  1134.1      8.8145      52.893      0.69703     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       256     0       0       0       1       100         0.085959    0.00010566  458.72      18.298      109.80      0.33578     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       256     0       0       1       1       100         0.085884    3.3467e-05  1134.1      18.314      109.89      0.33548     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       0       1       100         0.16239     0.00015270  458.72      19.371      116.24      0.31717     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       512     0       0       1       1       100         0.16220     0.00011288  1134.1      19.394      116.37      0.31680     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       1024    0       0       0       1       100         0.31586     0.00017021  458.72      19.918      119.52      0.30846     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       1       1024    0       0       1       1       100         0.31541     0.00014255  1134.1      19.947      119.69      0.30802     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       8       0       0       0       1       100         0.016476    2.4251e-05  885.78      5.9665      21.879      2.0595      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       8       0       0       1       1       100         0.016658    2.1654e-05  2210.6      5.9013      21.640      2.0823      3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       32      0       0       0       1       100         0.021593    2.4132e-05  885.78      18.210      66.778      0.67478     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       32      0       0       1       1       100         0.021863    2.8349e-05  2210.6      17.986      65.954      0.68320     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       64      0       0       0       1       100         0.030032    2.2861e-05  885.78      26.186      96.024      0.46926     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       64      0       0       1       1       100         0.037414    0.0010054   2210.6      21.020      77.080      0.58459     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       128     0       0       0       1       100         0.048805    0.00032919  885.78      32.227      118.18      0.38129     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       128     0       0       1       1       100         0.048950    2.9425e-05  2210.6      32.132      117.83      0.38243     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       256     0       0       0       1       100         0.086287    0.00011812  885.78      36.457      133.69      0.33706     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       256     0       0       1       1       100         0.086365    5.2284e-05  2210.6      36.423      133.56      0.33736     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       0       1       100         0.16271     0.00014300  885.78      38.667      141.79      0.31779     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       512     0       0       1       1       100         0.16262     0.00017072  2210.6      38.689      141.87      0.31761     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1024    0       0       0       1       100         0.31618     0.00021024  885.78      39.796      145.93      0.30877     3072        3           
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    3       2       1024    0       0       1       1       100         0.31577     0.00018569  2210.6      39.848      146.12      0.30837     3072        3           
2775 MHz, 50
