2775 MHz, 61
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      8       0       0       1       0       100         0.029975    3.3921e-05  1.5242e+05  419.78      193.49      3.7468      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      32      0       0       1       0       100         0.13033     0.0010283   1.5242e+05  386.20      178.01      4.0727      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       1       0       100         0.42859     0.0012399   1.5242e+05  469.74      216.52      3.3484      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       0       100         1.5964      0.0086621   1.5242e+05  504.44      232.51      3.1181      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      8       0       0       1       0       100         0.066038    4.8486e-05  3.1682e+05  396.96      139.43      8.2547      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      32      0       0       1       0       100         0.22163     0.0014208   3.1682e+05  473.11      166.18      6.9261      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      128     0       0       1       0       100         0.84071     0.0038356   3.1682e+05  498.90      175.24      6.5681      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       1       0       100         3.2592      0.060611    3.1682e+05  514.77      180.81      6.3656      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      8       0       0       1       0       100         0.14663     0.0012404   6.3339e+05  357.55      107.49      18.329      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      32      0       0       1       0       100         0.44000     0.0018678   6.3339e+05  476.63      143.29      13.750      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      128     0       0       1       0       100         1.6562      0.013090    6.3339e+05  506.49      152.27      12.939      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      512     0       0       1       0       62          6.4691      0.0088128   6.3339e+05  518.69      155.93      12.635      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      8       0       0       1       0       100         0.070113    9.2703e-05  3.0598e+05  358.93      165.45      8.7641      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      32      0       0       1       0       100         0.27157     0.00083603  3.0598e+05  370.67      170.86      8.4865      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      128     0       0       1       0       100         1.0066      0.0050346   3.0598e+05  400.00      184.37      7.8644      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      512     0       0       1       0       100         3.8519      0.016058    3.0598e+05  418.13      192.73      7.5233      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      8       0       0       1       0       100         0.17201     0.00031901  6.3677e+05  304.81      107.06      21.501      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      32      0       0       1       0       100         0.54233     0.0023159   6.3677e+05  386.70      135.83      16.948      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      128     0       0       1       0       100         2.0563      0.014339    6.3677e+05  407.95      143.29      16.065      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      512     0       0       1       0       50          8.0791      0.0056527   6.3677e+05  415.32      145.88      15.779      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      8       0       0       1       0       100         0.28685     0.00093945  1.2757e+06  365.55      109.89      35.856      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      32      0       0       1       0       100         1.0441      0.0047212   1.2757e+06  401.72      120.77      32.628      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      128     0       0       1       0       100         4.0093      0.0050484   1.2757e+06  418.45      125.80      31.323      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      512     0       0       1       0       26          15.890      0.012966    1.2757e+06  422.33      126.96      31.035      32768       16          
