name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,0,100,0.0680765,0.00173507,152420,184.835,85.1978,8.50956,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,0,100,0.223656,0.000182608,152420,225.04,103.73,6.98926,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,0,100,0.853728,0.000332181,152420,235.821,108.699,6.66975,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,3.43055,0.000860064,152420,234.745,108.204,6.70029,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,0,100,0.121109,9.16107e-05,316818,216.453,76.0294,15.1386,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,0,100,0.440102,0.000108466,316818,238.258,83.6882,13.7532,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,0,100,1.72741,0.00103949,316818,242.809,85.2869,13.4954,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,58,6.95468,0.000910234,316818,241.236,84.7346,13.5834,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,0,100,0.225633,0.000122432,633388,232.363,69.8544,28.2041,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,0,100,0.850517,0.000147856,633388,246.574,74.1264,26.5786,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,0,100,3.4102,0.0125178,633388,245.986,73.9497,26.6422,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,0,30,13.6238,0.000801739,633388,246.293,74.0418,26.609,16384,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,0,100,0.119528,8.06193e-05,305982,210.543,97.0472,14.9411,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,0,100,0.435644,0.000115553,305982,231.068,106.508,13.6139,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,0,100,1.70859,0.000538507,305982,235.664,108.626,13.3484,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,0,59,6.87448,0.000805689,305982,234.289,107.993,13.4267,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,0,100,0.228716,0.000114678,636766,229.231,80.5174,28.5895,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,0,100,0.869288,0.000163144,636766,241.249,84.739,27.1652,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,0,100,3.48598,0.00077823,636766,240.638,84.5243,27.2342,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,0,29,13.9316,0.00140619,636766,240.851,84.599,27.2102,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,0,100,0.432962,9.47705e-05,1.2757e+06,242.187,72.8075,54.1202,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,32,0,0,1,0,100,1.694,0.000716952,1.2757e+06,247.597,74.434,52.9376,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,1,0,59,6.8198,0.00173942,1.2757e+06,246.007,73.9561,53.2797,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,1,0,20,27.2681,0.00146543,1.2757e+06,246.108,73.9862,53.258,32768,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,8,0,0,1,0,100,0.225622,0.000102412,606681,223.079,102.826,28.2028,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,32,0,0,1,0,100,0.857251,0.000158999,606681,234.851,108.252,26.7891,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,1,0,100,3.43897,0.000521872,606681,234.171,107.938,26.867,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,1,0,30,13.737,0.0021429,606681,234.492,108.086,26.8301,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,8,0,0,1,0,100,0.442453,0.000119811,1.26475e+06,236.992,83.2434,55.3066,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,32,0,0,1,0,100,1.73295,0.000697288,1.26475e+06,242.033,85.0142,54.1546,65536,16
"(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,1,0,57,7.02309,0.00191461,1.26475e+06,238.886,83.9089,54.8679,65536,16
