name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,0,100,0.0156486,2.56293e-05,53883,201.023,203.119,1.95607,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,0,100,0.0508581,5.52192e-05,53883,247.412,249.992,1.58931,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,0,100,0.133561,0.000530373,53883,376.844,380.774,1.04344,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,0.529866,0.0011777,53883,379.958,383.92,1.03489,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,0,100,0.0260213,0.000128153,111275,251.855,187.634,3.25266,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,0,100,0.0816296,0.000160356,111275,321.138,239.25,2.55093,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,0,100,0.271217,0.000762225,111275,386.619,288.033,2.11888,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,1.07428,0.00410001,111275,390.43,290.872,2.0982,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,0,100,0.0546016,1.49595e-05,222439,240.051,149.433,6.8252,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,0,100,0.1333,0.000517412,222439,393.316,244.84,4.16561,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,0,100,0.521366,0.00129731,222439,402.241,250.396,4.07318,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,0,100,2.05732,0.00594139,222439,407.744,253.821,4.01821,16384,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,0,100,0.0373023,0.000131734,107579,168.661,170.419,4.66279,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,0,100,0.110048,0.00232145,107579,228.681,231.064,3.439,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,0,100,0.382142,0.00165743,107579,263.419,266.164,2.98548,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,0,100,1.54132,0.00627937,107579,261.239,263.962,3.01039,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,0,100,0.0727129,2.35555e-05,223176,180.26,134.294,9.08911,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,0,100,0.196374,0.000710237,223176,266.985,198.904,6.13668,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,0,100,0.810273,0.00128611,223176,258.821,192.822,6.33025,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,0,100,3.26276,0.00940925,223176,257.102,191.542,6.37257,32768,16
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,0,100,0.138308,0.000191384,446876,189.537,117.987,17.2885,32768,16
