2625 MHz, 68
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      8       0       0       1       0       100         0.015649    2.5629e-05  53883.      201.02      203.12      1.9561      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      32      0       0       1       0       100         0.050858    5.5219e-05  53883.      247.41      249.99      1.5893      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      128     0       0       1       0       100         0.13356     0.00053037  53883.      376.84      380.77      1.0434      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      512     0       0       1       0       100         0.52987     0.0011777   53883.      379.96      383.92      1.0349      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      8       0       0       1       0       100         0.026021    0.00012815  1.1127e+05  251.86      187.63      3.2527      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      32      0       0       1       0       100         0.081630    0.00016036  1.1127e+05  321.14      239.25      2.5509      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      128     0       0       1       0       100         0.27122     0.00076222  1.1127e+05  386.62      288.03      2.1189      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      512     0       0       1       0       100         1.0743      0.0041000   1.1127e+05  390.43      290.87      2.0982      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      8       0       0       1       0       100         0.054602    1.4960e-05  2.2244e+05  240.05      149.43      6.8252      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      32      0       0       1       0       100         0.13330     0.00051741  2.2244e+05  393.32      244.84      4.1656      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      128     0       0       1       0       100         0.52137     0.0012973   2.2244e+05  402.24      250.40      4.0732      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      512     0       0       1       0       100         2.0573      0.0059414   2.2244e+05  407.74      253.82      4.0182      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      8       0       0       1       0       100         0.037302    0.00013173  1.0758e+05  168.66      170.42      4.6628      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      32      0       0       1       0       100         0.11005     0.0023214   1.0758e+05  228.68      231.06      3.4390      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      128     0       0       1       0       100         0.38214     0.0016574   1.0758e+05  263.42      266.16      2.9855      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      512     0       0       1       0       100         1.5413      0.0062794   1.0758e+05  261.24      263.96      3.0104      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      8       0       0       1       0       100         0.072713    2.3556e-05  2.2318e+05  180.26      134.29      9.0891      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      32      0       0       1       0       100         0.19637     0.00071024  2.2318e+05  266.98      198.90      6.1367      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       0       1       0       100         0.81027     0.0012861   2.2318e+05  258.82      192.82      6.3303      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      512     0       0       1       0       100         3.2628      0.0094092   2.2318e+05  257.10      191.54      6.3726      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      8       0       0       1       0       100         0.13831     0.00019138  4.4688e+05  189.54      117.99      17.288      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      32      0       0       1       0       100         0.38079     0.0011081   4.4688e+05  275.37      171.42      11.900      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      128     0       0       1       0       100         1.5870      0.0071749   4.4688e+05  264.28      164.52      12.399      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      512     0       0       1       0       63          6.3807      0.013717    4.4688e+05  262.94      163.68      12.462      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      12      8       0       0       1       0       100         0.088509    3.9878e-05  2.1262e+05  142.17      143.65      11.064      65536       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m4096    16      12      32      0       0       1       0       100         0.28102     0.00089007  2.1262e+05  179.10      180.97      8.7819      65536       16          
