name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,0,100,0.0189534,8.71819e-06,53883,165.972,98.5475,2.36917,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,0,100,0.0252137,1.78382e-05,53883,499.05,296.316,0.787929,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,0,100,0.0395724,0.000150892,53883,1271.89,755.197,0.309159,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,0.25116,0.000295736,53883,801.588,475.951,0.490546,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,0,100,0.0217043,4.55793e-05,111275,301.949,125.31,2.71304,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,0,100,0.0433249,2.55764e-05,111275,605.066,251.105,1.3539,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,0,100,0.0851322,9.21827e-05,111275,1231.7,511.163,0.665095,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,0.414168,0.000464529,111275,1012.71,420.278,0.808922,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,0,100,0.0285391,2.3154e-05,222439,459.272,152.709,3.56739,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,0,100,0.0444668,6.17508e-05,222439,1179.05,392.039,1.38959,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,0,100,0.166085,0.000446403,222439,1262.7,419.849,1.29754,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,0,100,0.74528,0.00273325,222439,1125.57,374.253,1.45562,16384,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,0,100,0.027671,1.66231e-05,107579,227.367,135,3.45887,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,0,100,0.074419,2.49243e-05,107579,338.164,200.786,2.3256,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,0,100,0.150192,0.000997721,107579,670.23,397.953,1.17338,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,0,100,0.662085,0.00225666,107579,608.159,361.098,1.29314,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,0,100,0.0436276,4.56713e-05,223176,300.434,124.681,5.45345,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,0,100,0.0787883,0.000216812,223176,665.439,276.159,2.46213,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,0,100,0.342007,0.00184542,223176,613.19,254.476,2.67193,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,0,100,1.36093,0.00484026,223176,616.386,255.802,2.65807,32768,16
"(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,0,100,0.0798454,0.000213795,446876,328.315,109.165,9.98067,32768,16
