2790 MHz, 42
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      8       0       0       1       0       100         0.025465    0.00016478  53883.      123.53      73.349      3.1831      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      32      0       0       1       0       100         0.046776    5.7652e-05  53883.      269.00      159.72      1.4618      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      128     0       0       1       0       100         0.15627     0.00025436  53883.      322.07      191.23      1.2209      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      12      512     0       0       1       0       100         0.61401     0.00053676  53883.      327.89      194.69      1.1992      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      8       0       0       1       0       100         0.027124    2.9836e-05  1.1127e+05  241.62      100.27      3.3905      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      32      0       0       1       0       100         0.073355    5.3556e-05  1.1127e+05  357.36      148.31      2.2923      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      128     0       0       1       0       100         0.28072     0.00038864  1.1127e+05  373.54      155.02      2.1931      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      25      512     0       0       1       0       100         1.1069      0.0029639   1.1127e+05  378.92      157.26      2.1619      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      8       0       0       1       0       100         0.040880    4.2343e-05  2.2244e+05  320.63      106.61      5.1100      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      32      0       0       1       0       100         0.13109     0.00032405  2.2244e+05  399.93      132.98      4.0967      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      128     0       0       1       0       100         0.52634     0.00074953  2.2244e+05  398.44      132.48      4.1120      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m1024    16      50      512     0       0       1       0       100         2.1006      0.0049402   2.2244e+05  399.34      132.78      4.1028      16384       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      8       0       0       1       0       100         0.043598    7.1680e-05  1.0758e+05  144.31      85.682      5.4498      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      32      0       0       1       0       100         0.11466     0.00017152  1.0758e+05  219.48      130.32      3.5831      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      128     0       0       1       0       100         0.47289     0.00045283  1.0758e+05  212.87      126.39      3.6945      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      12      512     0       0       1       0       100         1.8647      0.0027436   1.0758e+05  215.93      128.21      3.6421      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      8       0       0       1       0       100         0.060597    0.0010238   2.2318e+05  216.30      89.766      7.5746      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      32      0       0       1       0       100         0.22034     0.00041578  2.2318e+05  237.94      98.746      6.8857      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      128     0       0       1       0       100         0.85257     0.011541    2.2318e+05  245.98      102.08      6.6607      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      25      512     0       0       1       0       100         3.3673      0.0035363   2.2318e+05  249.12      103.38      6.5768      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      8       0       0       1       0       100         0.10863     0.00025600  4.4688e+05  241.33      80.241      13.578      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      32      0       0       1       0       100         0.41682     0.0025774   4.4688e+05  251.57      83.646      13.026      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      128     0       0       1       0       100         1.6591      0.0064542   4.4688e+05  252.80      84.057      12.962      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m2048    16      50      512     0       0       1       0       60          6.6952      0.011366    4.4688e+05  250.59      83.320      13.077      32768       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      8       0       0       1       0       100         0.099333    0.0014957   2.1262e+05  126.67      75.213      12.417      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      32      0       0       1       0       100         0.28541     0.00019207  2.1262e+05  176.35      104.71      8.9192      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      128     0       0       1       0       100         1.1154      0.00074752  2.1262e+05  180.50      107.17      8.7138      65536       16          
[1m(BM_SPMM_Grid<float, batchlas::Backend::CUDA>)    [0m4096    16      12      512     0       0       1       0       91          4.4374      0.0018525   2.1262e+05  181.48      107.76      8.6668      65536       16          
