2775 MHz, 53
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      8       0       0       1       1       100         0.073337    0.0011172   1.5324e+05  171.58      79.087      9.1671      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      32      0       0       1       1       100         0.22963     0.00027419  1.5324e+05  219.19      101.03      7.1759      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       1       1       100         0.83854     0.00039559  1.5324e+05  240.09      110.67      6.5511      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       1       100         3.4433      0.021991    1.5324e+05  233.88      107.80      6.7251      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      8       0       0       1       1       100         0.12862     0.00021816  3.1786e+05  203.81      71.590      16.077      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      32      0       0       1       1       100         0.44769     0.0027198   3.1786e+05  234.22      82.270      13.990      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      128     0       0       1       1       100         1.7709      0.0046684   3.1786e+05  236.85      83.193      13.835      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       1       1       56          7.2178      0.030696    3.1786e+05  232.44      81.646      14.097      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      8       0       0       1       1       100         0.23245     0.00024583  6.3499e+05  225.55      67.805      29.057      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      32      0       0       1       1       100         0.86046     0.00027753  6.3499e+05  243.73      73.270      26.889      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      128     0       0       1       1       100         3.5550      0.012827    6.3499e+05  235.96      70.937      27.774      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m1024    16      50      512     0       0       1       1       29          14.157      0.0041765   6.3499e+05  237.02      71.255      27.650      16384       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      8       0       0       1       1       100         0.11815     0.00020891  3.0628e+05  213.00      98.178      14.769      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      32      0       0       1       1       100         0.39929     0.00022948  3.0628e+05  252.10      116.20      12.478      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      128     0       0       1       1       100         1.6343      0.0013551   3.0628e+05  246.38      113.57      12.768      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      12      512     0       0       1       1       59          6.8596      0.0022653   3.0628e+05  234.80      108.23      13.398      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      8       0       0       1       1       100         0.22111     0.00038535  6.3728e+05  237.12      83.289      27.638      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      32      0       0       1       1       100         0.79578     0.00034627  6.3728e+05  263.54      92.567      24.868      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      128     0       0       1       1       100         3.4929      0.0019397   6.3728e+05  240.16      84.356      27.289      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      25      512     0       0       1       1       29          13.940      0.0032605   6.3728e+05  240.70      84.546      27.227      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      8       0       0       1       1       100         0.40627     0.0012397   1.2748e+06  258.10      77.591      50.784      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      32      0       0       1       1       100         1.6604      0.0016584   1.2748e+06  252.61      75.941      51.887      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      128     0       0       1       1       58          6.9093      0.019673    1.2748e+06  242.82      72.998      53.979      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m2048    16      50      512     0       0       1       1       20          27.685      0.049496    1.2748e+06  242.40      72.873      54.072      32768       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      12      8       0       0       1       1       100         0.21779     0.00049218  6.0670e+05  231.10      106.52      27.224      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      12      32      0       0       1       1       100         0.78490     0.0048279   6.0670e+05  256.50      118.23      24.528      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      12      128     0       0       1       1       100         3.4410      0.0066821   6.0670e+05  234.03      107.87      26.883      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      12      512     0       0       1       1       30          13.717      0.011039    6.0670e+05  234.83      108.24      26.791      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      25      8       0       0       1       1       100         0.40814     0.00049682  1.2646e+06  256.92      90.242      51.017      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      25      32      0       0       1       1       100         1.6733      0.0020596   1.2646e+06  250.66      88.043      52.291      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      25      128     0       0       1       1       58          7.0105      0.026875    1.2646e+06  239.32      84.060      54.770      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      25      512     0       0       1       1       20          27.982      0.011743    1.2646e+06  239.83      84.240      54.652      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      50      8       0       0       1       1       100         0.78774     0.00023370  2.5320e+06  266.23      80.034      98.467      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      50      32      0       0       1       1       100         3.4784      0.0018631   2.5320e+06  241.16      72.499      108.70      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      50      128     0       0       1       1       29          13.854      0.0036314   2.5320e+06  242.20      72.811      108.24      65536       16          
[1m(BM_SPMM_Grid<std::complex<double>, batchlas::Backend::CUDA>)[0m4096    16      50      512     0       0       1       1       20          55.429      0.082321    2.5320e+06  242.14      72.794      108.26      65536       16          
2760 MHz, 63
