2760 MHz, 64
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       0       0       100         0.0088953   0.00011492  1907.9      2829.1      4243.9      0.017374    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.019532    2.1676e-05  4985.5      1288.4      1932.8      0.038148    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       1       0       0       100         0.010772    5.9908e-05  8.8048e+07  2336.2      4283.1      0.021040    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       1       1       0       100         0.020391    2.8587e-05  1.4596e+08  1234.2      2262.7      0.039826    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       0       0       0       100         0.0090366   6.0906e-05  1847.7      2784.9      4177.6      0.017650    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       0       1       0       100         0.018397    2.4678e-05  4914.7      1367.9      2052.0      0.035931    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       1       0       0       100         0.010930    4.0061e-05  8.4412e+07  2302.5      4221.5      0.021347    3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       1       1       0       100         0.019310    4.2104e-05  1.4923e+08  1303.2      2389.4      0.037716    3072        3           
2745 MHz, 73
