2760 MHz, 66
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       0       0       100         0.16427     0.00012936  1907.9      153.20      229.81      0.32084     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       0       100         0.16413     0.00011318  4985.5      153.33      230.01      0.32056     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       1       0       0       100         0.15931     0.00014911  6.7312e+06  157.96      289.61      0.31116     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       1       1       0       100         0.15921     0.00010556  1.7589e+07  158.07      289.81      0.31095     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       0       0       0       100         0.16426     0.00013929  1847.7      153.20      229.82      0.32083     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       0       1       0       100         0.16410     0.00011203  4914.7      153.36      230.05      0.32050     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       1       0       0       100         0.15925     0.00015851  6.5187e+06  158.03      289.73      0.31103     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     1       1       1       0       100         0.15912     0.00024129  1.7339e+07  158.16      289.97      0.31077     3072        3           
2775 MHz, 53
