2745 MHz, 73
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       0       0       100         0.30140     0.0010062   25892.      2671.9      674.94      0.58867     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       0       100         0.58969     0.00086579  1.5242e+05  1365.6      344.97      1.1517      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       1       0       0       100         0.34428     0.00095481  5.6548e+07  2339.1      737.07      0.67242     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       1       1       0       100         0.59726     0.00093573  2.5729e+08  1348.3      424.87      1.1665      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     1       0       0       0       100         0.42274     0.0012118   25986.      1905.0      481.21      0.82566     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     1       0       1       0       100         0.51925     0.0023475   1.5255e+05  1550.9      391.77      1.0142      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     1       1       0       0       100         0.43917     0.0016079   5.0101e+07  1833.7      577.81      0.85776     16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     1       1       1       0       100         0.54004     0.0030957   2.6849e+08  1491.2      469.89      1.0548      16384       16          
2760 MHz, 71
