2775 MHz, 61
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       0       0       0       100         1.2162      0.0011664   49005.      172.43      128.46      9.5017      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       0       1       0       100         1.4787      0.010428    2.2318e+05  141.83      105.66      11.552      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       1       0       0       100         1.2231      0.00099016  2.1660e+07  171.46      170.61      9.5554      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       1       1       0       100         1.8317      0.0040340   7.3648e+07  114.49      113.92      14.311      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     1       0       0       0       100         1.2501      0.0010823   48901.      167.75      124.98      9.7667      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     1       0       1       0       100         1.4713      0.0016404   2.2285e+05  142.53      106.19      11.495      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     1       1       0       0       100         1.1960      0.00061437  2.1614e+07  175.35      174.47      9.3436      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     1       1       1       0       100         1.5120      0.0011460   8.4236e+07  138.70      138.01      11.813      32768       16          
2760 MHz, 62
