typ,tag,transA,m,nnzrow,nrhs,batch,transB,beta,pattern,t_vendor,t_native,ratio,relsd,sd_v,sd_n,chk_v,chk_n,agree,gbs_v,gbs_n,roof_v,roof_n,fp_mb,l2res
cdouble,cellsA0,0,1024,3,2,512,0,0,0,0.183766,0.0425045,0.23129686666739221,0.00127796219104731,0.00127796219104731,0.0002210010704748909,1907.93,1907.93,True,365.197,1578.91,0.3622986111111111,1.5663789682539684,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,0,0,1,0.184355,0.0809921,0.43932684223373386,0.0010016544167502917,0.0010016544167502917,0.0007445108843948978,4985.47,4985.47,True,364.031,828.611,0.3611418650793651,0.8220347222222222,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,0,1,0,0.183937,0.0422492,0.22969386257251126,0.000932270288196502,0.000932270288196502,0.00032185698190734973,6090110.0,37158800.0,True,456.069,1985.56,0.45244940476190476,1.9698015873015873,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,0,1,1,0.184631,0.0806354,0.43673814256544136,0.0015971273162903637,0.0010085684419192877,0.0015971273162903637,15873700.0,75041300.0,True,454.355,1040.34,0.45074900793650796,1.0320833333333332,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,1,0,0,0.183095,0.0426056,0.23269668751194733,0.0008465659903328873,0.0008465659903328873,0.00021337312465966916,1847.72,1847.72,True,366.537,1575.16,0.36362797619047615,1.5626587301587302,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,1,0,1,0.183728,0.0809703,0.4407074588522163,0.005155441739963424,0.005155441739963424,0.0007937293056836889,4914.71,4914.71,True,365.273,828.834,0.362374007936508,0.8222559523809523,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,1,1,0,0.183697,0.0423555,0.23057262775113366,0.0015676739413272944,0.0015676739413272944,0.00025882825134870325,5912690.0,35956600.0,True,456.665,1980.57,0.4530406746031746,1.9648511904761905,67.110912,True
cdouble,cellsA0,0,1024,3,2,512,1,1,1,0.184466,0.0805671,0.4367585354482669,0.009496004683789966,0.009496004683789966,0.0007904690624336733,15687700.0,73976200.0,True,454.762,1041.22,0.4511527777777778,1.0329563492063492,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,0,0,0,0.174494,0.0880329,0.5045038797895629,0.000969173725171066,0.000969173725171066,0.0005775988295285058,1874.14,1874.14,True,384.604,762.339,0.3815515873015873,0.7562886904761905,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,0,0,1,0.176991,0.121631,0.687215734133374,0.0130251333952693,0.0011735003474752953,0.0130251333952693,4971.24,4971.24,True,379.176,551.758,0.37616666666666665,0.5473789682539683,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,0,1,0,0.164269,0.0913642,0.5561864989742435,0.0010603826650189628,0.0010603826650189628,0.000680994306303782,6477020.0,27100000.0,True,510.675,918.173,0.5066220238095238,0.9108859126984127,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,0,1,1,0.166629,0.123254,0.7396911702044662,0.0019944099177308648,0.001038216636959953,0.0019944099177308648,16981800.0,21197400.0,True,503.442,680.614,0.49944642857142857,0.6752123015873016,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,1,0,0,0.175893,0.088837,0.5050627370048837,0.001375012081208462,0.001375012081208462,0.0005377061359568648,1898.3,1898.3,True,381.545,755.438,0.3785168650793651,0.7494424603174603,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,1,0,1,0.177313,0.120474,0.6794425676628335,0.007535262501903414,0.007535262501903414,0.0026096502149841458,4961.51,4961.51,True,378.489,557.058,0.375485119047619,0.5526369047619047,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,1,1,0,0.165525,0.0915951,0.5533611236973267,0.0027393932644868557,0.001277831143331823,0.0027393932644868557,6514960.0,27434200.0,True,506.799,915.858,0.5027767857142857,0.9085892857142857,67.110912,True
cdouble,cellsA1,1,1024,3,2,512,1,1,1,0.16691,0.122946,0.7366005631777605,0.0020763587265954157,0.0010993110059313402,0.0020763587265954157,16948500.0,21155900.0,True,502.595,682.317,0.49860615079365084,0.6769017857142857,67.110912,True
cdouble,cellsB0,0,1024,16,12,512,0,0,0,3.23079,0.900247,0.27864608965609033,0.0029001823083518274,0.0029001823083518274,0.0011281903744194649,25891.7,25891.7,True,114.894,412.329,0.11398214285714287,0.40905654761904764,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,0,0,1,3.43238,1.60128,0.4665217720648646,0.009117456035171863,0.0030466323658802346,0.009117456035171863,152420.0,152420.0,True,108.146,231.813,0.10728769841269842,0.22997321428571427,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,0,1,0,3.14002,0.899889,0.28658702810810127,0.004721104491776208,0.00029267488742109926,0.004721104491776208,6058670.0,37905500.0,True,150.273,524.355,0.14908035714285714,0.5201934523809524,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,0,1,1,3.43402,1.59659,0.46493322694684364,0.006403585140831397,0.00022023372024624203,0.006403585140831397,34446900.0,55176100.0,True,137.408,295.543,0.1363174603174603,0.29319742063492066,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,1,0,0,3.22806,1.87501,0.5808473200622045,0.004267763905259171,0.003741566141893273,0.004267763905259171,25985.9,25985.9,True,114.991,197.971,0.11407837301587302,0.19639980158730158,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,1,0,1,3.42866,1.49356,0.43561041339765394,0.008026928948284636,0.00036709676666686115,0.008026928948284636,152552.0,152552.0,True,108.263,248.533,0.10740376984126984,0.24656051587301586,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,1,1,0,3.13681,1.86798,0.5955030747797921,0.004141982248203942,0.0008382560626878899,0.004141982248203942,6080690.0,8367450.0,True,150.427,252.605,0.14923313492063492,0.2506001984126984,371.197952,False
cdouble,cellsB0,0,1024,16,12,512,1,1,1,3.47534,1.49168,0.4292184361817836,0.007783094603693452,0.007783094603693452,0.003124510618899496,34476700.0,57664600.0,True,135.774,316.329,0.13469642857142858,0.3138184523809524,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,0,0,0,2.65659,2.72624,1.026217820589553,0.0019088488174188625,0.0007832409216326193,0.0019088488174188625,26116.8,26116.8,True,139.727,136.157,0.13861805555555556,0.1350763888888889,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,0,0,1,3.48733,4.16578,1.1945471177089635,0.002261249993998723,0.0022077606650360015,0.002261249993998723,153237.0,153237.0,True,106.442,89.1064,0.10559722222222222,0.08839920634920634,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,0,1,0,2.61716,2.86039,1.092936618319094,0.009632005685552277,0.009632005685552277,0.004956981390649527,6947060.0,6529190.0,True,180.295,164.964,0.1788640873015873,0.16365476190476191,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,0,1,1,3.38638,4.2708,1.2611697446831132,0.004001234356451432,0.004001234356451432,0.0036699915706659174,34631500.0,30034400.0,True,139.341,110.486,0.13823511904761906,0.10960912698412699,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,1,0,0,3.1414,2.75973,0.8785032151270133,0.001693556978400061,0.0002683319539059018,0.001693556978400061,26410.4,26410.4,True,118.163,134.505,0.1172251984126984,0.1334375,371.197952,False
cdouble,cellsB1,1,1024,16,12,512,1,0,1,3.47993,4.21001,1.2097973235093809,0.004036604184566931,0.004036604184566931,0.002214536307514709,153131.0,153131.0,True,106.668,88.1704,0.10582142857142858,0.08747063492063492,371.197952,False
