name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,0,100,0.0164584,0.00200689,949.616,11.9457,27.8753,2.05731,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,0,100,0.0160256,2.63702e-05,2501.82,12.2684,28.6283,2.0032,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,0,100,0.0212185,2.30667e-05,949.616,37.0635,86.4875,0.663079,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,0,100,0.0213488,2.8621e-05,2501.82,36.8373,85.9597,0.66715,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,0,100,0.0298502,2.59594e-05,949.616,52.6919,122.956,0.46641,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,0,100,0.0300737,4.29674e-05,2501.82,52.3003,122.042,0.469902,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,0,100,0.0485099,7.68653e-05,949.616,64.8472,151.321,0.378983,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,0,100,0.0490551,6.09651e-05,2501.82,64.1265,149.639,0.383243,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,0,100,0.0863934,0.000112568,949.616,72.8233,169.933,0.337474,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,0,100,0.0865593,9.49287e-05,2501.82,72.6838,169.607,0.338122,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,0,100,0.164046,0.000122501,949.616,76.7037,178.988,0.320402,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.163711,0.000131516,2501.82,76.8606,179.354,0.319748,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.319538,0.000216267,949.616,78.7568,183.779,0.312049,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.319243,0.000656047,2501.82,78.8297,183.949,0.311761,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0182679,0.00110327,1907.93,21.5249,32.2892,2.28349,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.0193161,0.000277367,4985.47,20.3569,30.5371,2.41451,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0256192,6.26546e-05,1907.93,61.3939,92.0958,0.800601,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.0258593,4.55977e-05,4985.47,60.8239,91.2408,0.808103,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.0371601,0.00161835,1907.93,84.6535,126.987,0.580626,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.0303311,2.56537e-05,4985.47,103.713,155.578,0.473924,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.0485849,0.000234919,1907.93,129.494,194.252,0.379569,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0487589,0.000208762,4985.47,129.032,193.558,0.380929,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,0,100,0.0868563,0.000180199,1907.93,144.87,217.317,0.339283,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,0,100,0.0868249,4.89899e-05,4985.47,144.923,217.396,0.33916,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,0,100,0.16427,0.00015228,1907.93,153.198,229.809,0.32084,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.164151,0.000130503,4985.47,153.309,229.976,0.320607,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.32045,0.00130633,1907.93,157.066,235.611,0.312939,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.319814,0.00108951,4985.47,157.378,236.08,0.312318,3072,3
