name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,0,100,0.00289088,7.17359e-05,440.696,17.0024,158.7,0.36136,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,0,100,0.00340367,5.31796e-06,1134.05,14.4409,134.791,0.425458,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,0,100,0.00287076,6.08927e-05,440.696,68.4863,639.25,0.0897114,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,0,100,0.00386535,0.000202414,1134.05,50.8642,474.766,0.120792,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,0,100,0.00348844,0.000376575,440.696,112.72,1052.12,0.0545069,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,0,100,0.00439207,2.10085e-05,1134.05,89.5286,835.659,0.0686261,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,0,100,0.00408494,3.82227e-06,440.696,192.52,1796.98,0.0319136,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,0,100,0.00618645,0.000297178,1134.05,127.122,1186.55,0.0483317,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,0,100,0.00570249,0.000110218,440.696,275.821,2574.51,0.0222753,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,0,100,0.0101646,1.23925e-05,1134.05,154.739,1444.33,0.0397055,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,0,100,0.0087472,2.44676e-06,440.696,359.627,3356.75,0.0170844,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.0168728,1.32867e-05,1134.05,186.438,1740.21,0.0329547,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.0150243,5.84951e-05,440.696,418.752,3908.63,0.0146722,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.0303448,1.25777e-05,1134.05,207.333,1935.24,0.0296335,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.00291506,3.67757e-05,874.683,33.7228,202.348,0.364383,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.00348839,1.41657e-06,2210.61,28.1804,169.091,0.436048,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.00290992,4.58249e-05,874.683,135.13,810.822,0.0909349,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.00407982,1.2682e-06,2210.61,96.3807,578.315,0.127494,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.00322873,1.84678e-06,874.683,243.573,1461.52,0.0504489,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.00485996,2.34393e-06,2210.61,161.819,970.965,0.0759368,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.00448851,1.56014e-06,874.683,350.42,2102.63,0.0350665,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0069522,2.85416e-06,2210.61,226.24,1357.51,0.054314,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,0,100,0.00660788,2.29752e-06,874.683,476.057,2856.5,0.025812,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,0,100,0.0111685,1.84821e-05,2210.61,281.661,1690.06,0.043627,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,0,100,0.010142,8.92561e-06,874.683,620.337,3722.23,0.0198086,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.0216502,2.34349e-05,2210.61,290.595,1743.67,0.0422856,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.0360118,6.71635e-05,874.683,349.411,2096.58,0.0351677,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.0431176,0.000630284,2210.61,291.828,1751.06,0.0421071,3072,3
