name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,0,100,0.0163729,8.18161e-05,440.696,3.00204,28.021,2.04661,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,0,100,0.0165017,0.00081443,1134.05,2.97861,27.8023,2.06271,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,0,100,0.0233091,0.00147816,440.696,8.4348,78.7303,0.728411,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,0,100,0.0218251,5.28162e-05,1134.05,9.00836,84.0839,0.682033,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,0,100,0.0326451,0.00240127,440.696,12.0452,112.429,0.51008,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,0,100,0.0312651,0.000430528,1134.05,12.5768,117.392,0.488518,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,0,100,0.04951,0.000216013,440.696,15.8843,148.264,0.386797,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,0,100,0.0500985,4.68777e-05,1134.05,15.6977,146.522,0.391395,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,0,100,0.0875849,4.93076e-05,440.696,17.9582,167.621,0.342129,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,0,100,0.0875959,3.50782e-05,1134.05,17.9559,167.6,0.342172,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,0,100,0.165136,0.00013414,440.696,19.0493,177.806,0.322531,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,0,100,0.164858,0.000128592,1134.05,19.0815,178.106,0.321988,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,0,100,0.320918,0.000174304,440.696,19.6045,182.988,0.313397,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,0,100,0.320452,0.000170013,1134.05,19.633,183.255,0.312942,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,0,100,0.0167364,2.78375e-05,874.683,5.87366,35.2438,2.09205,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,0,100,0.0168698,2.40763e-05,2210.61,5.82722,34.9652,2.10872,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,0,100,0.0228124,3.14718e-05,874.683,17.2369,103.427,0.712887,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,0,100,0.0231535,2.64911e-05,2210.61,16.983,101.903,0.723548,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,0,100,0.0327003,3.67598e-05,874.683,24.0497,144.306,0.510942,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,0,100,0.0328112,3.43816e-05,2210.61,23.9684,143.818,0.512675,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,0,100,0.0510947,3.84201e-05,874.683,30.7833,184.71,0.399177,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,0,100,0.0512329,4.04247e-05,2210.61,30.7003,184.212,0.400257,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,0,100,0.0893889,4.49732e-05,874.683,35.1915,211.16,0.349175,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,0,100,0.089511,0.000165174,2210.61,35.1435,210.872,0.349652,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,0,100,0.167076,0.000150471,874.683,37.6563,225.95,0.32632,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,0,100,0.166902,0.000154718,2210.61,37.6956,226.186,0.32598,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,0,100,0.323112,0.000996695,874.683,38.9429,233.67,0.315539,3072,3
"(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,0,100,0.322689,0.000193904,2210.61,38.9939,233.976,0.315126,3072,3
