name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,0,1,100,0.00534625,9.16231e-05,940.249,36.775,85.8142,0.668281,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,8,0,0,1,1,100,0.00518943,0.000120361,2521.86,37.8862,88.4074,0.648679,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,0,1,100,0.00540439,8.85325e-05,940.249,145.517,339.564,0.168887,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,32,0,0,1,1,100,0.00739131,1.23623e-05,2521.86,106.4,248.283,0.230978,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,0,1,100,0.00553681,3.23408e-05,940.249,284.074,662.885,0.0865127,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,64,0,0,1,1,100,0.0108457,8.40383e-06,2521.86,145.022,338.409,0.169464,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,0,1,100,0.00760336,4.42706e-06,940.249,413.729,965.434,0.0594012,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,128,0,0,1,1,100,0.0172756,2.03475e-05,2521.86,182.091,424.908,0.134966,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,0,1,100,0.0121825,1.81366e-05,940.249,516.433,1205.09,0.047588,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,256,0,0,1,1,100,0.0309734,0.000279393,2521.86,203.124,473.99,0.12099,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,0,1,100,0.0211195,0.000228716,940.249,595.795,1390.29,0.0412491,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,512,0,0,1,1,100,0.0565501,0.000191169,2521.86,222.509,519.224,0.110449,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,0,1,100,0.0379899,4.10931e-05,940.249,662.434,1545.79,0.0370995,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,1,1024,0,0,1,1,100,0.10756,0.000136825,2521.86,233.97,545.967,0.105039,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,0,1,100,0.005618,0.000650857,1874.14,69.9922,104.994,0.70225,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,8,0,0,1,1,100,0.00599371,2.03099e-06,4971.24,65.6048,98.4125,0.749214,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,0,1,100,0.00539409,3.7871e-05,1874.14,291.59,437.409,0.168565,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,32,0,0,1,1,100,0.0104047,8.07443e-06,4971.24,151.169,226.765,0.325147,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,0,1,100,0.00736974,2.88129e-06,1874.14,426.844,640.3,0.115152,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,64,0,0,1,1,100,0.0167221,1.50246e-05,4971.24,188.118,282.192,0.261283,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,0,1,100,0.0116321,1.05762e-05,1874.14,540.87,811.349,0.0908758,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,128,0,0,1,1,100,0.0293826,1.91048e-05,4971.24,214.122,321.2,0.229551,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,0,1,100,0.0200584,0.000117754,1874.14,627.315,941.023,0.078353,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,256,0,0,1,1,100,0.0553253,5.27416e-05,4971.24,227.435,341.171,0.216114,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,0,1,100,0.0361677,2.62577e-05,1874.14,695.81,1043.77,0.07064,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,512,0,0,1,1,100,0.104741,0.0001446,4971.24,240.267,360.421,0.204572,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,0,1,100,0.0695854,0.000116758,1874.14,723.308,1085.02,0.0679545,3072,3
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,3,2,1024,0,0,1,1,100,0.204959,0.000195312,4971.24,245.569,368.373,0.200156,3072,3
