2760 MHz, 65
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       0       1       100         0.016164    0.00029313  940.25      12.163      28.383      2.0205      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       8       0       0       1       1       100         0.016490    2.3820e-05  2521.9      11.923      27.823      2.0612      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       0       1       100         0.026052    4.3978e-05  940.25      30.186      70.440      0.81414     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       32      0       0       1       1       100         0.026475    4.7639e-05  2521.9      29.704      69.315      0.82736     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       0       1       100         0.030488    3.7370e-05  940.25      51.590      120.38      0.47637     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       64      0       0       1       1       100         0.031163    2.5311e-05  2521.9      50.472      117.78      0.48692     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       0       1       100         0.049078    3.1092e-05  940.25      64.096      149.57      0.38342     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       128     0       0       1       1       100         0.049397    2.8877e-05  2521.9      63.683      148.60      0.38591     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       0       1       100         0.087155    0.00010065  940.25      72.187      168.45      0.34045     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       256     0       0       1       1       100         0.087578    3.3701e-05  2521.9      71.838      167.63      0.34210     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       0       1       100         0.16483     0.00012642  940.25      76.340      178.14      0.32193     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       512     0       0       1       1       100         0.16492     0.00038892  2521.9      76.296      178.04      0.32211     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       1024    0       0       0       1       100         0.32073     0.00022712  940.25      78.464      183.10      0.31321     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       1       1024    0       0       1       1       100         0.32052     0.00024753  2521.9      78.516      183.22      0.31300     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       0       1       100         0.019535    3.8183e-05  1874.1      20.129      30.195      2.4419      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       8       0       0       1       1       100         0.020035    0.0012372   4971.2      19.627      29.441      2.5044      3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       0       1       100         0.022073    0.00048198  1874.1      71.258      106.89      0.68977     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       32      0       0       1       1       100         0.023196    0.00015078  4971.2      67.807      101.72      0.72488     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       0       1       100         0.030784    2.5227e-05  1874.1      102.19      153.29      0.48099     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       64      0       0       1       1       100         0.032981    0.00027715  4971.2      95.379      143.08      0.51534     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       128     0       0       0       1       100         0.049228    0.00018335  1874.1      127.80      191.71      0.38459     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       128     0       0       1       1       100         0.051193    0.00013505  4971.2      122.90      184.36      0.39994     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       256     0       0       0       1       100         0.087627    4.7314e-05  1874.1      143.60      215.41      0.34229     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       256     0       0       1       1       100         0.089563    5.3711e-05  4971.2      140.49      210.75      0.34986     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       0       1       100         0.16516     0.00016183  1874.1      152.37      228.57      0.32257     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       512     0       0       1       1       100         0.16707     0.0011514   4971.2      150.63      225.96      0.32631     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1024    0       0       0       1       100         0.32132     0.00017516  1874.1      156.64      234.97      0.31379     3072        3           
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    3       2       1024    0       0       1       1       100         0.32295     0.0018242   4971.2      155.85      233.79      0.31538     3072        3           
2775 MHz, 55
