2760 MHz, 62
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       8       0       0       0       1       100         0.016591    1.9570e-05  458.72      2.9626      27.653      2.0738      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       8       0       0       1       1       100         0.016720    2.3518e-05  1134.1      2.9397      27.439      2.0900      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       32      0       0       0       1       100         0.022397    0.00055563  458.72      8.7785      81.938      0.69989     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       32      0       0       1       1       100         0.022282    2.5007e-05  1134.1      8.8238      82.361      0.69630     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       64      0       0       0       1       100         0.031224    2.8193e-05  458.72      12.594      117.55      0.48787     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       64      0       0       1       1       100         0.031430    3.1606e-05  1134.1      12.511      116.78      0.49109     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       128     0       0       0       1       100         0.049683    3.2696e-05  458.72      15.829      147.75      0.38815     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       128     0       0       1       1       100         0.049667    2.8506e-05  1134.1      15.834      147.79      0.38803     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       256     0       0       0       1       100         0.087933    0.00023600  458.72      17.887      166.96      0.34349     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       256     0       0       1       1       100         0.087905    3.9599e-05  1134.1      17.893      167.01      0.34338     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       0       1       100         0.16564     0.00015581  458.72      18.991      177.26      0.32352     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       512     0       0       1       1       100         0.16526     0.00014490  1134.1      19.035      177.68      0.32277     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       1024    0       0       0       1       100         0.32167     0.00021517  458.72      19.559      182.56      0.31413     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       1       1024    0       0       1       1       100         0.32119     0.00026379  1134.1      19.588      182.83      0.31366     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       0       1       100         0.019916    0.00043258  885.78      4.9359      29.617      2.4895      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       8       0       0       1       1       100         0.020329    3.1229e-05  2210.6      4.8356      29.015      2.5412      3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       0       1       100         0.027265    0.00023020  885.78      14.422      86.537      0.85203     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       32      0       0       1       1       100         0.027616    5.6599e-05  2210.6      14.239      85.438      0.86299     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       0       1       100         0.032794    0.00019311  885.78      23.981      143.89      0.51241     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       64      0       0       1       1       100         0.033009    3.4265e-05  2210.6      23.825      142.96      0.51576     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       0       1       100         0.050843    3.9745e-05  885.78      30.936      185.62      0.39721     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       128     0       0       1       1       100         0.050795    3.8956e-05  2210.6      30.965      185.80      0.39684     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       256     0       0       0       1       100         0.089455    5.4000e-05  885.78      35.165      211.00      0.34943     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       256     0       0       1       1       100         0.089476    5.1661e-05  2210.6      35.157      210.96      0.34951     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       0       1       100         0.16725     0.00014826  885.78      37.617      225.71      0.32666     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       512     0       0       1       1       100         0.16696     0.00017992  2210.6      37.682      226.10      0.32610     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1024    0       0       0       1       100         0.32357     0.00020866  885.78      38.888      233.34      0.31599     3072        3           
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    3       2       1024    0       0       1       1       100         0.32296     0.00018652  2210.6      38.961      233.78      0.31539     3072        3           
2775 MHz, 55
