name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,0,100,0.0174731,1.12647e-05,152420,720.132,181.91,2.18413,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,0,100,0.0503446,1.78464e-05,152420,999.743,252.542,1.57327,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,0,100,0.138312,0.00070453,152420,1455.6,367.695,1.08056,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,0.589292,0.000851953,152420,1366.57,345.204,1.15096,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,0,100,0.0292405,9.7447e-05,316818,896.511,166.976,3.65506,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,0,100,0.0805785,0.000270796,316818,1301.31,242.371,2.51808,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,0,100,0.298735,0.000761846,316818,1404.02,261.501,2.33387,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,1.22587,0.0031721,316818,1368.59,254.902,2.39428,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,0,100,0.0562332,0.000158277,633388,932.347,145.097,7.02914,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,0,100,0.141588,0.00067591,633388,1481.16,230.507,4.42464,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,0,100,0.59359,0.000852039,633388,1413.2,219.93,4.63742,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,0,100,2.38361,0.00435557,633388,1407.72,219.077,4.65548,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,0,100,0.0389934,0.000125282,305982,645.386,163.028,4.87418,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,0,100,0.117824,0.000869497,305982,854.356,215.815,3.68199,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,0,100,0.443257,0.00102511,305982,908.397,229.466,3.46294,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,0,100,1.83107,0.00408918,305982,879.601,222.192,3.57631,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,0,100,0.0757513,0.000209671,636766,692.117,128.907,9.46892,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,0,100,0.218757,0.000876729,636766,958.667,178.552,6.83616,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,0,100,0.943965,0.00191512,636766,888.657,165.513,7.37472,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,0,100,3.84723,0.00442114,636766,872.171,162.442,7.51412,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,0,100,0.149214,0.00134427,1.2757e+06,702.734,109.363,18.6517,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,32,0,0,1,0,100,0.44257,0.000891803,1.2757e+06,947.714,147.488,13.8303,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,1,0,100,1.87458,0.0035172,1.2757e+06,894.987,139.283,14.6451,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,1,0,53,7.59161,0.00685062,1.2757e+06,883.988,137.571,14.8274,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,8,0,0,1,0,100,0.0905943,3.4916e-05,606681,555.572,140.34,11.3243,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,32,0,0,1,0,100,0.30154,0.000929672,606681,667.66,168.654,9.42314,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,1,0,100,1.23321,0.00328847,606681,653.016,164.955,9.63446,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,1,0,82,4.93016,0.00381341,606681,653.371,165.045,9.62923,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,8,0,0,1,0,100,0.177255,0.0019116,1.26475e+06,591.562,110.179,22.1569,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,32,0,0,1,0,100,0.640761,0.00107425,1.26475e+06,654.582,121.916,20.0238,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,1,0,100,2.57316,0.00350441,1.26475e+06,652.009,121.437,20.1028,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,512,0,0,1,0,39,10.2756,0.00485699,1.26475e+06,653.091,121.638,20.0695,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,8,0,0,1,0,100,0.316271,0.00109597,2.53183e+06,663.086,103.193,39.5339,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,32,0,0,1,0,100,1.2751,0.00385852,2.53183e+06,657.877,102.382,39.847,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,128,0,0,1,0,79,5.08346,0.004129,2.53183e+06,660.07,102.724,39.7145,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,512,0,0,1,0,20,20.311,0.00375831,2.53183e+06,660.812,102.839,39.67,65536,16
