name,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,iterations,avg_ms,stddev_ms,chk,GFLOPS,GB/s,Time (µs) / matrix,nnz/item,nnz/row
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,8,0,0,1,0,100,0.0281756,0.000301029,152420,446.589,112.811,3.52195,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,32,0,0,1,0,100,0.0756673,0.000244388,152420,665.17,168.026,2.3646,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,128,0,0,1,0,100,0.272132,0.00270432,152420,739.812,186.881,2.12603,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,12,512,0,0,1,0,100,1.07778,0.0228267,152420,747.193,188.746,2.10503,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,8,0,0,1,0,100,0.0397509,0.000287587,316818,659.467,122.827,4.96886,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,32,0,0,1,0,100,0.132813,0.000134366,316818,789.514,147.048,4.1504,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,128,0,0,1,0,100,0.51381,0.000399637,316818,816.315,152.04,4.01414,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,25,512,0,0,1,0,100,2.09037,0.00280345,316818,802.595,149.484,4.08276,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,8,0,0,1,0,100,0.0693733,0.000142719,633388,755.749,117.614,8.67166,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,32,0,0,1,0,100,0.254657,0.000185967,633388,823.521,128.161,7.95802,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,128,0,0,1,0,100,1.00855,0.00116349,633388,831.749,129.441,7.8793,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",1024,16,50,512,0,0,1,0,98,4.102,0.00616512,633388,818.002,127.302,8.01171,16384,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,8,0,0,1,0,100,0.049907,0.000176342,305982,504.254,127.377,6.23838,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,32,0,0,1,0,100,0.163803,0.000149625,305982,614.539,155.236,5.11885,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,128,0,0,1,0,100,0.625042,0.000551497,305982,644.202,162.729,4.88314,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,12,512,0,0,1,0,100,2.52003,0.000923764,305982,639.123,161.446,4.92194,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,8,0,0,1,0,100,0.0883654,4.37088e-05,636766,593.318,110.506,11.0457,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,32,0,0,1,0,100,0.317673,0.00244684,636766,660.16,122.955,9.9273,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,128,0,0,1,0,100,1.24165,0.000726078,636766,675.604,125.832,9.70036,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,25,512,0,0,1,0,80,5.02446,0.00138859,636766,667.822,124.382,9.81339,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,8,0,0,1,0,100,0.162111,0.000123708,1.2757e+06,646.828,100.663,20.2638,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,32,0,0,1,0,100,0.610584,0.000192464,1.2757e+06,686.933,106.904,19.0808,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,128,0,0,1,0,100,2.46049,0.000991233,1.2757e+06,681.865,106.116,19.2226,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",2048,16,50,512,0,0,1,0,41,9.8618,0.00138727,1.2757e+06,680.493,105.902,19.2613,32768,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,8,0,0,1,0,100,0.0955862,3.70133e-05,606681,526.557,133.011,11.9483,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,32,0,0,1,0,100,0.342824,0.000137788,606681,587.259,148.345,10.7132,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,128,0,0,1,0,100,1.34119,0.000873528,606681,600.44,151.674,10.4781,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,12,512,0,0,1,0,75,5.39997,0.00111435,606681,596.526,150.685,10.5468,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,8,0,0,1,0,100,0.178015,0.000131324,1.26475e+06,589.039,109.709,22.2518,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,32,0,0,1,0,100,0.669009,0.000142883,1.26475e+06,626.943,116.768,20.9065,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,128,0,0,1,0,100,2.68538,0.000946707,1.26475e+06,624.762,116.362,20.9795,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,25,512,0,0,1,0,38,10.7325,0.00107973,1.26475e+06,625.287,116.46,20.9619,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,8,0,0,1,0,100,0.333915,0.000132756,2.53183e+06,628.05,97.7403,41.7394,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,32,0,0,1,0,100,1.30133,0.000592403,2.53183e+06,644.619,100.319,40.6665,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,128,0,0,1,0,77,5.25199,0.00133931,2.53183e+06,638.889,99.4273,41.0312,65536,16
"(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)",4096,16,50,512,0,0,1,0,20,20.9959,0.00132302,2.53183e+06,639.258,99.4846,41.0075,65536,16
