2775 MHz, 51
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      8       0       0       1       0       100         0.028176    0.00030103  1.5242e+05  446.59      112.81      3.5219      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      32      0       0       1       0       100         0.075667    0.00024439  1.5242e+05  665.17      168.03      2.3646      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      128     0       0       1       0       100         0.27213     0.0027043   1.5242e+05  739.81      186.88      2.1260      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      12      512     0       0       1       0       100         1.0778      0.022827    1.5242e+05  747.19      188.75      2.1050      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      8       0       0       1       0       100         0.039751    0.00028759  3.1682e+05  659.47      122.83      4.9689      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      32      0       0       1       0       100         0.13281     0.00013437  3.1682e+05  789.51      147.05      4.1504      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      128     0       0       1       0       100         0.51381     0.00039964  3.1682e+05  816.31      152.04      4.0141      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      25      512     0       0       1       0       100         2.0904      0.0028034   3.1682e+05  802.59      149.48      4.0828      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      8       0       0       1       0       100         0.069373    0.00014272  6.3339e+05  755.75      117.61      8.6717      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      32      0       0       1       0       100         0.25466     0.00018597  6.3339e+05  823.52      128.16      7.9580      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      128     0       0       1       0       100         1.0086      0.0011635   6.3339e+05  831.75      129.44      7.8793      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m1024    16      50      512     0       0       1       0       98          4.1020      0.0061651   6.3339e+05  818.00      127.30      8.0117      16384       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      8       0       0       1       0       100         0.049907    0.00017634  3.0598e+05  504.25      127.38      6.2384      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      32      0       0       1       0       100         0.16380     0.00014962  3.0598e+05  614.54      155.24      5.1188      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      128     0       0       1       0       100         0.62504     0.00055150  3.0598e+05  644.20      162.73      4.8831      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      12      512     0       0       1       0       100         2.5200      0.00092376  3.0598e+05  639.12      161.45      4.9219      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      8       0       0       1       0       100         0.088365    4.3709e-05  6.3677e+05  593.32      110.51      11.046      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      32      0       0       1       0       100         0.31767     0.0024468   6.3677e+05  660.16      122.96      9.9273      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      128     0       0       1       0       100         1.2416      0.00072608  6.3677e+05  675.60      125.83      9.7004      32768       16          
[1m(BM_SPMM_Grid<std::complex<float>, batchlas::Backend::CUDA>)[0m2048    16      25      512     0       0       1       0       80          5.0245      0.0013886   6.3677e+05  667.82      124.38      9.8134      32768       16          
