2775 MHz, 53
[1;36mName                                              Arg0    Arg1    Arg2    Arg3    Arg4    Arg5    Arg6    Arg7    Iter        Avg(ms)     Std(ms)     chk         GFLOPS      GB/s        Time (µs) / matrixnnz/item    nnz/row     [0m
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      8       0       0       1       0       100         0.038239    2.4304e-05  53883.      82.264      83.122      4.7799      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      32      0       0       1       0       100         0.10487     0.00018864  53883.      119.98      121.23      3.2773      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      128     0       0       1       0       100         0.37590     0.00050429  53883.      133.90      135.29      2.9367      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      12      512     0       0       1       0       100         1.4768      0.018225    53883.      136.33      137.75      2.8843      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      8       0       0       1       0       100         0.061295    0.0014148   1.1127e+05  106.92      79.655      7.6619      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      32      0       0       1       0       100         0.20076     0.00039670  1.1127e+05  130.58      97.280      6.2738      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      128     0       0       1       0       100         0.73950     0.0070932   1.1127e+05  141.80      105.64      5.7773      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      25      512     0       0       1       0       100         3.0002      0.0020548   1.1127e+05  139.80      104.15      5.8597      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      8       0       0       1       0       100         0.10420     0.00039871  2.2244e+05  125.78      78.301      13.025      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      32      0       0       1       0       100         0.36754     0.0010913   2.2244e+05  142.65      88.798      11.486      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      128     0       0       1       0       100         1.4256      0.00085403  2.2244e+05  147.10      91.572      11.138      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m1024    16      50      512     0       0       1       0       70          5.7440      0.0022309   2.2244e+05  146.04      90.911      11.219      16384       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      8       0       0       1       0       100         0.062182    0.00017538  1.0758e+05  101.18      102.23      7.7728      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      32      0       0       1       0       100         0.19817     0.00020278  1.0758e+05  126.99      128.31      6.1929      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      128     0       0       1       0       100         0.74475     0.0010258   1.0758e+05  135.16      136.57      5.8183      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      12      512     0       0       1       0       100         2.9910      0.0092428   1.0758e+05  134.62      136.02      5.8418      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      8       0       0       1       0       100         0.10876     0.0011330   2.2318e+05  120.51      89.783      13.595      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      32      0       0       1       0       100         0.37868     0.00029119  2.2318e+05  138.45      103.15      11.834      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      128     0       0       1       0       100         1.4885      0.011997    2.2318e+05  140.89      104.96      11.629      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      25      512     0       0       1       0       68          5.9355      0.0070549   2.2318e+05  141.33      105.29      11.593      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      8       0       0       1       0       100         0.19433     0.00018687  4.4688e+05  134.90      83.975      24.291      32768       16          
[1m(BM_SPMM_Grid<double, batchlas::Backend::CUDA>)   [0m2048    16      50      32      0       0       1       0       100         0.72657     0.0047203   4.4688e+05  144.32      89.839      22.705      32768       16          
